智能--它是什么？	Intelligence -- what is it?
回到最初， 机器人这个术语的用法， "RUR，"这出戏， 总存在一种概念就是 如果我们开发了机器智能 就会产生一个人工智能的叛变。	Going back to the beginning of the usage of the term robot, the play "RUR," there was always a concept that if we developed machine intelligence, there would be a cybernetic revolt.
机器会奋起反抗我们。	The machines would rise up against us.
这项工作的主要成果之一 就是也许这几十年间， 我们对于人工智能的叛变 的整个概念 是颠倒的。	One major consequence of this work is that maybe all of these decades, we've had the whole concept of cybernetic revolt in reverse.
机器不是先有了智慧 然后才变得狂妄 并试图接管世界的。	It's not that machines first become intelligent and then megalomaniacal and try to take over the world.
另一个重要的成果是寻找目标。	Another important consequence is goal seeking.
我经常被问道， 寻找目标的能力 怎么会遵循这种框架结构呢？	I'm often asked, how does the ability to seek goals follow from this sort of framework?
最后，理查德 · 费曼， 这位著名的物理学家， 曾经写道， 如果人类文明被摧毁 并且你只能将一个概念 传承给我们的后代， 来帮助他们重建文明， 这个概念应该是 我们身边的一切物质 都是由微小的元素组成的， 它们之间距离远的时候 会相互吸引， 但在靠的很近时 它们会互相排斥。	Finally, Richard Feynman, famous physicist, once wrote that if human civilization were destroyed and you could pass only a single concept on to our descendants to help them rebuild civilization, that concept should be that all matter around us is made out of tiny elements that attract each other when they're far apart but repel each other when they're close together.
我与这句话等同的声明， 来传递给后代， 帮助他们建立人工智能 或是帮助他们理解 人类的智慧， 是如下的话： 智能应该被看作是 一个物理过程， 它试图将未来的行动自由最大化 并且避免在自己的未来中的约束。	My equivalent of that statement to pass on to descendants to help them build artificial intelligences or to help them understand human intelligence, is the following: Intelligence should be viewed as a physical process that tries to maximize future freedom of action and avoid constraints in its own future.
非常感谢。	Thank you very much.
我想大家都有个柜	I think we all have closets.
你所谓的出柜 有的或许是你跟她第一次说我爱你 或许告诉别人你怀孕了 或许告诉别人你患有癌症 甚至是其他我们都经历过的 难以启齿的谈话	Your closet may be telling someone you love her for the first time, or telling someone that you're pregnant, or telling someone you have cancer, or any of the other hard conversations we have throughout our lives.
所谓的柜就是一次说不出口的谈话 虽然我们的话题涉及广泛 在柜中 和出柜的经历都是相通的	All a closet is is a hard conversation, and although our topics may vary tremendously, the experience of being in and coming out of the closet is universal.
这种感觉很可怕 尽管我们都不喜欢 但是还得这样做	It is scary, and we hate it, and it needs to be done.
几年以前 我在South Side Walnut咖啡店工作 一个当地的餐厅 那段时间我经历了 激进女同性恋的紧张 没有刮我的腋毛 引用福音Ani DiFranco的歌词	Several years ago, I was working at the South Side Walnut Cafe, a local diner in town, and during my time there I would go through phases of militant lesbian intensity: not shaving my armpits, quoting Ani DiFranco lyrics as gospel.
由于我宽松的工装短裤 还有我最近的发型 经常会有人问我 通常是小孩儿问我 "嗯，你是男孩还是女孩？"	And depending on the bagginess of my cargo shorts and how recently I had shaved my head, the question would often be sprung on me, usually by a little kid: "Um, are you a boy or are you a girl?"
随之而来的是一阵尴尬的寂静	And there would be an awkward silence at the table.
我紧咬牙关 怀着报复的心紧握着咖啡罐	I'd clench my jaw a little tighter, hold my coffee pot with a little more vengeance.
爸爸尴尬地乱翻着报纸 妈妈冷漠地盯着孩子	The dad would awkwardly shuffle his newspaper and the mom would shoot a chilling stare at her kid.
但是我说不出口 内心却在沸腾	But I would say nothing, and I would seethe inside.
所以我跟自己讲 下一次 我一定会说什么	So I promised myself, the next time, I would say something.
我会把话说出口	I would have that hard conversation.
所以 过了几个星期 又出现这种状况了	So within a matter of weeks, it happens again.
"你是男孩还是女孩？"	"Are you a boy or are you a girl?"
准备好引用Gloria Steinem的话	I've got my Gloria Steinem quotes.
我甚至从《阴道独白》中选了几句话	I've even got this little bit from "Vagina Monologues" I'm going to do.
我深吸了口气 我低下头看 迎来的是一个穿着粉色裙子的4岁小女孩儿的目光 这个小菜一碟 只是个小孩儿问问题 "你是男孩还是女孩？"	So I take a deep breath and I look down and staring back at me is a four-year-old girl in a pink dress, not a challenge to a feminist duel, just a kid with a question: "Are you a boy or are you a girl?"
我又深吸了口气 在她身旁蹲下来说 "我知道有点不好理解	So I take another deep breath, squat down to next to her, and say, "Hey, I know it's kind of confusing.
我的头发像男生的那样短 我还穿着男生的衣服 但是我是个女孩 有时候你喜欢穿粉色的裙子 有时候喜欢穿舒服的睡衣 对吧	My hair is short like a boy's, and I wear boy's clothes, but I'm a girl, and you know how sometimes you like to wear a pink dress, and sometimes you like to wear your comfy jammies?
那我就是那种喜欢穿舒服睡衣的那种女孩	Well, I'm more of a comfy jammies kind of girl."
这个小孩儿死死的盯着我 都不带眨的 说 "我最喜欢的睡衣是紫色的 上面还有鱼	And this kid looks me dead in the eye, without missing a beat, and says, "My favorite pajamas are purple with fish.
能给我块煎饼吗？"	Can I get a pancake, please?"
来块煎饼怎么样？"	How about that pancake?"
这是有史以来 最简单的一次艰难对话	It was the easiest hard conversation I have ever had.
为什么呢 因为这个煎饼女孩和我 我们对彼此都很真诚	And why? Because Pancake Girl and I, we were both real with each other.
所以 跟很多人一样 我住在自己的几个柜里 是的 而且我的四面墙常常会变成彩色	So like many of us, I've lived in a few closets in my life, and yeah, most often, my walls happened to be rainbow.
但是墙的里面 黑暗中 你却不知道内墙是什么颜色	But inside, in the dark, you can't tell what color the walls are.
你就是知道在柜里是什么感觉	You just know what it feels like to live in a closet.
所以 真的 我的柜和你的 你的 所有人的柜都是一样的	So really, my closet is no different than yours or yours or yours.
当然 我会告诉你100个理由 来解释为什么我出柜会比你出柜要难 但是重点是 难并不是相对的	Sure, I'll give you 100 reasons why coming out of my closet was harder than coming out of yours, but here's the thing: Hard is not relative.
各有各的难处	Hard is hard.
谁能告诉我 是跟一个人讲你刚刚破产难 还是跟一个人讲你背叛他难呢	Who can tell me that explaining to someone you've just declared bankruptcy is harder than telling someone you just cheated on them?
谁能告诉我 是一个人说自己出柜难 还是告诉你5岁的孩子你要离婚了难呢	Who can tell me that his coming out story is harder than telling your five-year-old you're getting a divorce?
没有谁更难一些 就只是很难而已	There is no harder, there is just hard.
我们不能把各自的难处排个1234 以此来让我们对自己的柜更好过或更难过些 然后又互相怜悯大家都很难	We need to stop ranking our hard against everyone else's hard to make us feel better or worse about our closets and just commiserate on the fact that we all have hard.
在生活中的某些时刻 我们都闷在柜里 这样我们感到很安全 至少比在柜外面更安全些	At some point in our lives, we all live in closets, and they may feel safe, or at least safer than what lies on the other side of that door.
但是我要告诉大家 不管你的柜是什么材质 那都不是一个人应该住的地方	But I am here to tell you, no matter what your walls are made of, a closet is no place for a person to live.
那时的我 扎着马尾 穿着没有肩带的裙子 蹬着高跟鞋	Me, I had a ponytail, a strapless dress, and high-heeled shoes.
我不是那个紧张的女同性恋 随时准备迎战走进咖啡厅的4岁孩童	I was not the militant lesbian ready to fight any four-year-old that walked into the cafe.
恐惧使我不得动弹 缩在我 那个黑漆漆的柜里 绷紧身为同性恋的神经 我从未 放松过紧绷的那根弦	I was frozen by fear, curled up in the corner of my pitch-black closet clutching my gay grenade, and moving one muscle is the scariest thing I have ever done.
我的家人 朋友 陌生人 我一直都 努力不让这些人失望 然而现在 我却故意 把事情弄的一团糟	My family, my friends, complete strangers -- I had spent my entire life trying to not disappoint these people, and now I was turning the world upside down on purpose.
我把我们一直沿用的脚本 都烧掉 但是如果你不丢掉手中的手榴弹 它会至你于死地	I was burning the pages of the script we had all followed for so long, but if you do not throw that grenade, it will kill you.
让我印象最深刻的一次爆发 是在我姐姐的婚礼上	One of my most memorable grenade tosses was at my sister's wedding.
说了一会儿话后 有个女人大叫着说 "我超爱Nathan Lane！"	And after a little small talk, one of the women shouted out, "I love Nathan Lane!"
就这样一场关于同性恋的话题拉开帷幕	And the battle of gay relatability had begun.
"Ash 你去过Castro吗？"	"Ash, have you ever been to the Castro?"
"恩 内什么 实际上 我们在旧金山有朋友"	"Well, yeah, actually, we have friends in San Francisco."
"内什么 我们没去过那儿 但是听说那儿挺棒的"	"Well, we've never been there but we've heard it's fabulous."
"Ash 你知道我的理发师Antonio吗？	"Ash, do you know my hairdresser Antonio?
他人很好 但是从没听他谈过女性朋友"	He's really good and he has never talked about a girlfriend."
"Ash 你最喜欢哪个电视节目	"Ash, what's your favorite TV show?
我们最喜欢的？ 最喜欢的电视节目非Will & Grace莫属	Our favorite TV show? Favorite: Will & Grace.
你知道我们最爱谁吗 最爱Jack了	And you know who we love? Jack.
我们最喜欢Jack了"	Jack is our favorite."
然后另一个女人 张口结舌 但是极力变现出她的支持 让我明白她是站在我这一边的 她最终脱口而出 "有时候我丈夫穿粉色的T恤"	And then one woman, stumped but wanting so desperately to show her support, to let me know she was on my side, she finally blurted out, "Well, sometimes my husband wears pink shirts."
我可以回到我女性朋友和支持同性恋的那一桌去 对他们这些人的反应嘲笑一番 说他们什么都不懂 他们不能理解我身上所带的同性恋的标签 或者我可以选择感同身受 理解那可能是他们从未做过的最难的事情 开始并进行那样的对话 是他们出柜的表现	I could go back to my girlfriend and my gay-loving table and mock their responses, chastise their unworldliness and their inability to jump through the politically correct gay hoops I had brought with me, or I could empathize with them and realize that that was maybe one of the hardest things they had ever done, that starting and having that conversation was them coming out of their closets.
当然 指出他们不对的地方很容易	Sure, it would have been easy to point out where they felt short.
但是和他们在同一层面上理解 并知道他们在努力却很难	It's a lot harder to meet them where they are and acknowledge the fact that they were trying.
除了让人家努力尝试 你还能要求人家什么呢	And what else can you ask someone to do but try?
如果你想对某人坦诚 那你就要准备好别人同样对你完全坦白	If you're going to be real with someone, you gotta be ready for real in return.
所以进行难的对话仍不是我的强项	So hard conversations are still not my strong suit.
去问问我从未约过会的人就知道了	Ask anybody I have ever dated.
但是我做好的更好了 因为我遵循我称之为 煎饼女孩三原则	But I'm getting better, and I follow what I like to call the three Pancake Girl principles.
请各位带上同性恋有色眼镜来看待这个 但是要明白出任何的柜所需的努力 都是一样的	Now, please view this through gay-colored lenses, but know what it takes to come out of any closet is essentially the same.
原则一 要真实	Number one: Be authentic.
卸下你的防御 做真实的自己	Take the armor off. Be yourself.
那个在咖啡厅的女孩就没有防御 然而我却是准备开战	That kid in the cafe had no armor, but I was ready for battle.
如果你想让别人对你坦诚 你得让他们知道你也有所付出	If you want someone to be real with you, they need to know that you bleed too.
原则二 要直接 有什么说什么 不要绷着	Number two: Be direct. Just say it. Rip the Band-Aid off.
你知道你是同性恋 那就说出来	If you know you are gay, just say it.
如果你告诉你的父母 你可能是同性恋 他们会心有一丝希望 你会改变的	If you tell your parents you might be gay, they will hold out hope that this will change.
不要让他们有这样的错觉	Do not give them that sense of false hope.
你是在坦言有关自己的事情	You are speaking your truth.
不要对此感到抱歉	Never apologize for that.
可能会有人受伤 这是一定的 对你所做的事情道歉 但是不要为你的本质而道歉	And some folks may have gotten hurt along the way, so sure, apologize for what you've done, but never apologize for who you are.
是的 有些人会很失望 但是他们对自己失望 而不是对你	And yeah, some folks may be disappointed, but that is on them, not on you.
那是他们所期望的你的样子 而不是你自己的期望	Those are their expectations of who you are, not yours.
那是他们的故事 而不是属于你的故事	That is their story, not yours.
唯一重要的故事 是你想要书写的那一个	The only story that matters is the one that you want to write.
那么下回你发现自己 窝在柜里 手里紧攥着手榴弹时 要知道我们都经历过这个阶段	So the next time you find yourself in a pitch-black closet clutching your grenade, know we have all been there before.
你可能会感到孤独 但实际上不是的	And you may feel so very alone, but you are not.
虽然很难 但是你需要走出柜 不管你的墙是什么 我向你保证 还有些人 从他们柜的锁眼里 寻找下一个勇敢的人推开们 所以做那个勇敢的人吧 让人们知道柜已容不下我们 一个柜不是一个人 能活出真实自己的地方	And we know it's hard but we need you out here, no matter what your walls are made of, because I guarantee you there are others peering through the keyholes of their closets looking for the next brave soul to bust a door open, so be that person and show the world that we are bigger than our closets and that a closet is no place for a person to truly live.
我18年前做过脑部手术， 从那时起， 我就非常热衷于脑科学研究。	I had brain surgery 18 years ago, and since that time, brain science has become a personal passion of mine.
我的本职其实是工程师。	I'm actually an engineer.
现在说正题。¶ 做过脑手术之后就出现这样一个问题：	So that said, there's a stigma when you have brain surgery.
你还和以前一样聪明吗?	Are you still smart or not?
如果不是，你还能重新变聪明吗？	And if not, can you make yourself smart again?
在手术刚刚结束之后， 我就得决定每天要吃的十几种强力药物里， 每一种吃多少。 如果什么药都不吃， 几个小时内我就会死掉。	Immediately after my surgery, I had to decide what amounts of each of over a dozen powerful chemicals to take each day, because if I just took nothing, I would die within hours.
有几次都差点没命。	There have been several close calls.
不过幸好我打心底里是个实验科学家， 所以我觉得我要试验一下， 找到更合适的剂量， 因为这方面实在是没有个详细的 路线图可参考。	But luckily, I'm an experimentalist at heart, so I decided I would experiment to try to find more optimal dosages because there really isn't a clear road map on this that's detailed.
我开始尝试不同的药物搭配， 而我完全没有想到的是， 剂量上的微小改变 竟然会剧烈地改变我的自我感觉， 我认为自己是谁，我的想法， 我对待他人的行为。	I began to try different mixtures, and I was blown away by how tiny changes in dosages dramatically changed my sense of self, my sense of who I was, my thinking, my behavior towards people.
一个非常极端的例子： 有几个月我尝试的药物和剂量 正常是用于20出头的男性的。 让我非常惊讶的是我的想法完全改变了。	One particularly dramatic case: for a couple months I actually tried dosages and chemicals typical of a man in his early 20s, and I was blown away by how my thoughts changed.
我那样的比较极端。	I was kind of extreme.
对我来说，让我惊讶的是， 我并不是想要做个傲慢的人，	But to me, the surprise was, I wasn't trying to be arrogant.
我实际上是想， 虽然不是很确定， 要解决摆在我面前的一个问题， 可结果却不是那样的。	I was actually trying, with a little bit of insecurity, to actually fix a problem in front of me, and it just didn't come out that way.
不过那段经历，我觉得， 让我对男性有了新的认识， 包括他们可能的感受。 而且从那以后 我和男性之间相处得也更好了。	But that experience, I think, gave me a new appreciation for men and what they might walk through, and I've gotten along with men a lot better since then.
我当时试图 调节这些激素 和神经递质等的剂量， 我想要做的是 在生病和手术之后，重新找回我的智慧， 我的创造性思维，我的思考能力。	What I was trying to do with tuning these hormones and neurotransmitters and so forth was to try to get my intelligence back after my illness and surgery, my creative thought, my idea flow.
我主要是通过图像来思考的， 所以对我来说最关键的， 就是如何找回这些大脑中的图像， 因为我是用图像来快速地构建原型想法的。 只要我愿意，我的想法， 会尝试不同规模的新想法， 设想各种场景。	And I think mostly in images, and so for me that became a key metric -- how to get these mental images that I use as a way of rapid prototyping, if you will, my ideas, trying on different new ideas for size, playing out scenarios.
这种思维方式并不罕见。	This kind of thinking isn't new.
哲学家们，像休谟、笛卡儿、霍布斯 也是这样看事情的。	Philiosophers like Hume and Descartes and Hobbes saw things similarly.
他们认为脑中的图像和思想 是一回事。	They thought that mental images and ideas were actually the same thing.
现在有很多人质疑这一点， 也有很多关于大脑如何思考的争论， 但对我来说很简单： 对大多数人来说，大脑中的图像 是在创造性思考中处于核心地位。	There are those today that dispute that, and lots of debates about how the mind works, but for me it's simple: Mental images, for most of us, are central in inventive and creative thinking.
在我试验了几年之后， 我找到了合适的药物剂量， 我脑中开始出现了很多栩栩如生 又非常复杂的图像， 还有图像中包含的思路。	So after several years, I tuned myself up and I have lots of great, really vivid mental images with a lot of sophistication and the analytical backbone behind them.
现在我在做的， 就是如何把我脑子中的这些图像 更快地传到我的电脑屏幕上?	And so now I'm working on, how can I get these mental images in my mind out to my computer screen faster?
想像一下， 如果一个电影导演仅靠她的想象力 就可以导演她眼前的世界?	Can you imagine, if you will, a movie director being able to use her imagination alone to direct the world in front of her?
或者一个音乐家这样就能把他脑子里的音乐传出来?	Or a musician to get the music out of his head?
这件事有不可思议的可能性， 它可以让有创造性的人们 以闪电般的速度来分享想法。	There are incredible possibilities with this as a way for creative people to share at light speed.
现在我要给大家看看， 为什么我觉得我们已经接近成功了， 我要展示两个近期的实验， 分别是在两个顶级的脑科学研究组做的。	So let me show you why I think we're pretty close to getting there by sharing with you two recent experiments from two top neuroscience groups.
他们都用了fMRI技术 也就是功能性核磁共振成像技术 来对大脑进行造影。 这套大脑扫描图是 哈佛的吉奥吉欧•加尼斯和他的同事们做的。	Both used fMRI technology -- functional magnetic resonance imaging technology -- to image the brain, and here is a brain scan set from Giorgio Ganis and his colleagues at Harvard.
左边一列扫描的 是一个正看着一张图的人的大脑。	And the left-hand column shows a brain scan of a person looking at an image.
中间一列 是同一个人的大脑扫描图， 但他只是在想像看刚才那张图片，	The middle column shows the brainscan of that same individual imagining, seeing that same image.
右边一列是将 中间的图从左边的图减去后得到的 可以看出来差别几乎为零。	And the right column was created by subtracting the middle column from the left column, showing the difference to be nearly zero.
这个实验在很多不同的人身上重复过， 而且用了很多不同的图片， 结果几乎总是一样。	This was repeated on lots of different individuals with lots of different images, always with a similar result.
真正看一张图片 和想像看同一张图片 之间几乎没有差别。	The difference between seeing an image and imagining seeing that same image is next to nothing.
下面我再给你们看一个实验， 是在加州大学伯克利分校 杰克•加蓝特的实验室做的。	Next let me share with you one other experiment, this from Jack Gallant's lab at Cal Berkeley.
在这个实验里，受试者 要看几百小时的youtube视频， 看的时候他们的大脑会被扫描， 这样就建立了一个巨大的数据库，里面纪录下了 他们的大脑对一系列视频的反应，	In this experiment, individuals were shown hundreds of hours of YouTube videos while scans were made of their brains to create a large library of their brain reacting to video sequences.
然后给他们看一段新视频，里面有新的图像， 新的人物，新的动物， 并且新的大脑扫描图也被纪录下来。	Then a new movie was shown with new images, new people, new animals in it, and a new scan set was recorded.
电脑仅仅通过大脑扫描数据 就可以解析新的扫描图， 推测出受试者实际看到的是什么图像。	The computer, using brain scan data alone, decoded that new brain scan to show what it thought the individual was actually seeing.
右边是电脑的猜测， 而左边是给受试者看的片段。	On the right-hand side, you see the computer's guess, and on the left-hand side, the presented clip.
这真是让人印象极为深刻。	This is the jaw-dropper.
我们离真正实现这一点已经不远了，	We are so close to being able to do this.
只是需要提高分辨率。	We just need to up the resolution.
请记住当你看一副图片 或者你想同一副图片时， 大脑扫描的结果是一样的。	And now remember that when you see an image versus when you imagine that same image, it creates the same brain scan.
这是用当今分辨率最高的 大脑扫描系统做的。 这个系统的分辨率在近几年里 提高了将近一千倍。	So this was done with the highest-resolution brain scan systems available today, and their resolution has increased really about a thousandfold in the last several years.
下一步我们需要将分辨率 再提高一千倍， 才能看得更深。	Next we need to increase the resolution another thousandfold to get a deeper glimpse.
我们怎样实现呢？	How do we do that?
这方面有很多技术可用。	There's a lot of techniques in this approach.
一种方法是把头骨撬开把电极放进去，	One way is to crack open your skull and put in electrodes.
我不做这个。	I'm not for that.
还有很多新的成像技术被提出来， 有些还是我提出来的， 不过考虑到最近在核磁共振上的成功， 我们首先应该问的问题是， 这项技术已经发展到尽头了吗？	There's a lot of new imaging techniques being proposed, some even by me, but given the recent success of MRI, first we need to ask the question, is it the end of the road with this technology?
传统的观点认为 提高分辨率的唯一方法是用更大的磁铁， 但是现在更大的磁铁只能 带来分辨率的提升只是固定增量的， 不是我们想要的一千倍。	Conventional wisdom says the only way to get higher resolution is with bigger magnets, but at this point bigger magnets only offer incremental resolution improvements, not the thousandfold we need.
我提出了一个想法： 不用更大的磁铁， 我们来做更好的磁铁。	I'm putting forward an idea: instead of bigger magnets, let's make better magnets.
