Bosnians protest Croatian plans for nuclear waste facility	クロアチアが核処理施設計画　ボスニア人が抗議
It is a popular store run by Takeshin Confectionery, with over 100 kinds of roasted mochi balls and strips lining its shelves.	竹新製菓が運営する人気店で、店内には、100種類以上のおかきやあられなどが並んでいます。
Today, Tatsushin is being visited by Ms. Yasuda from the smartphone payment service PayPay, which already boasts 12.5 million users.	この日「辰心」を訪問したのは、ユーザー数1250万人を誇るスマホ決済サービス「PayPay」の安田さん。
Ms. Yasuda (PayPay): "Do you currently accept any payment methods other than cash?"	PayPay 安田さん ： 「 今お会計の方法は現金以外には何か支払方法はありますか ？ 」
Ms. Niimi (President of Takeshin Confectionery): "No, we're quite old-fashioned and only accept cash... "	竹新製菓社長 新美さん ： 「 いや、現金のみで対応しております、昔ながらの ... 」
Ms. Yasuda: "Some of the benefits of PayPay include the fact that you don't need to hand over change, so you should appreciate a faster turnaround at the tills, plus when you get used to it I think you might find it easier than cash."	PayPay 安田さん ： 「 つり銭の受け渡しとかもなくなるので、レジの回転も速くなるのかなというのと、慣れていただければ現金よりもむしろ楽なんじゃないかなと思います」
PayPay has been running a ten billion yen campaign in which users receive 20% of the price they pay back as points.	これまで、利用額の20％をポイントで還元する100億円キャンペーンを展開。
This approach has earnt them an explosive increase in the number of users, but Ms. Yasuda is a salesperson to the places where those users will use the payment method, in other words, she is selling the PayPay system to shops.	爆発的にユーザーを増やしてきましたが、安田さんはユーザーの利用先、つまりお店にPayPay導入を売り込む「営業マン」です。
Okakiya Tatsushin had been a cash-only business up until now.	これまで現金商売だった「おかき屋辰心 」 。
On listening to Yasuda's sales pitch, President Niimi also decided to join PayPay.	社長も安田さんから話を聞き、PayPayに加盟することにしました。
Ms. Yasuda: "I'm really busy, and I think it's probably at its peak right now. Places that I've called into before that wouldn't let me talk to them now think that if we help them with the consumer rebate program, then they'd like to hear about PayPay, and I usually get them to sign up as a participating store, so I pretty much feel like I'm riding the wave right now."	PayPay 安田さん ： 「 忙しさは本当、今がピークかなとは思います。飛び込んだ先で今までお話してもらえなかったお店様も、消費者還元事業も一緒にやれるんだったら、PayPayで話聞こうかなということで加盟店登録をいただいて、今結構、波に乗っています」
- Riding the "cashless wave" with the government's consumer rebate program!	■国の消費者還元事業制度で"キャッシュレス化の波"に乗る！
The reason Ms. Yasuda gave for feeling like she was riding on a wave is the government's consumer rebate program.	波に乗る理由として安田さんがあげたのが、国の『消費者還元事業 』 。
The government will raise sales taxes in October, and to counter the anticipated cooling of consumer spending, they are implementing a program in which customers will get a rebate of up to 5% of the purchase amount, on the condition that they paid with a cashless payment method.	国は10月からの消費税増税で、消費の冷え込みを防ぐために最大で買い物額の5％を消費者に還元する制度を導入しますが、その条件となるのが「キャッシュレス決済」です。
Therefore, many small to medium-sized retailers are considering adopting cashless payments before the taxes are raised, just like Okakiya Tatsushin.	「おかき屋辰心」のように、増税前にキャッシュレス決済を導入しようと考える中小の小売店は少なくありません。
Enjoying soba noodles and "Natsuzora" at the festival in Shintoku on the 29th, featuring a talk with actress Fukuchi Momoko: Hokkaido Shimbun Newspaper Doshin Online Edition	そばと「なつぞら」味わって 新得で２９日「祭り」 出演の福地さんがトーク：北海道新聞 どうしん電子版
[Shintoku] The 18th Shintoku New Soba Festival (organised by the organising committee) will be held on the 29th in Shintoku-cho, Tokachi jurisdiction, a mecca for soba noodles.	【新得】そばどころの十勝管内新得町で「第１８回しんとく新そば祭り 」 （ 実行委主催）が２９日開かれる。
This year, thanks to Shintoku being the location for the NHK TV drama series, "Natsuzora", actress Fukuchi Momoko has been invited to appear in a talk show, and there will also be an exhibition of the props used in the show.	今年は、新得でＮＨＫ連続テレビ小説「なつぞら」のロケが行われた縁で、俳優福地桃子さんを招いたトークショーやドラマで使われた小道具類の展示もある。
The venue will be the plaza in front of the municipal health and welfare centre.	会場は町保健福祉センター前広場。
There will be a row of 10 soba noodle restaurants from around the town, serving soba noodles made with new buckwheat flour in broth for 300 yen a bowl.	町内のそば店など１０店が軒を連ね、新そば粉を使ったかけそばを１杯３００円で販売する。
There will also be other food stalls serving things such as crepes and beer made with buckwheat.	そば発泡酒やクレープなどの飲食ブースも並ぶ。
At the talk show, Fukuchi, who plays the eldest daughter of the Shibata family in the show, will give a behind-the-scenes look at her time on location in Tokachi.	トークショーは、番組で柴田家の長女を演じた福地さんが十勝ロケ時の裏話について語る。
At the town hall adjacent to the venue, there will be the horse picture drawn by Yamada Tenyo, played by Yoshizawa Ryo, and the old car that Fukuchi drives in the show.	会場に隣接する町公民館では、俳優吉沢亮さんが演じた山田天陽の馬の絵や、福地さんがドラマの中で運転した旧車も展示する。
What is Munchhausen's by proxy mentioned in The Politician on Netflix?	ネットフリックスのザ・ポリティシャンに登場した代理ミュンヒハウゼン症候群とは？
The condition means carers or parents pretend their child is ill when they are healthy.	症状は保護者や親が、健康な子供が病気だと偽ることである。
The Politican hits Netflix today.	ザ・ポリティシャンはネットフリックスで今日放送される。
The show tells the story of Payton Hobart who wants to be President of the United States of America - but first, he has to be student body president at his high school.	ドラマはアメリカ合衆国大統領を目指すペイトン・ホバートの物語だが、しかしまずは自分の高校の生徒会長になるのが最初のステップだ。
Made by American Horror Story and Glee creator Ryan Murphy, it features Gwyneth Paltrow, Ben Platt and Lucy Boynton.	アメリカン・ホラー・ストーリーやグリーの制作者ライアン・マーフィーにより制作され、出演はグウィネス・パルトロー、ベン・プラット、そしてルーシー・ボイントン。
Without revealing too much for those who haven't had a chance to watch it yet, the show includes a storyline about Munchhausen's by proxy - a mental illness where a carer acts as if the person they are looking after has a physical or mental illness when they are not really sick.	まだドラマを見る機会がない視聴者のためできるだけネタバレのないようにしますが、ドラマでは代理ミュンヒハウゼン症候群の様子も語られる - これは保護者が、その保護下にある人間が本当は病んではいないにもかかわらず、肉体的又は精神的な病気であるかのようにふるまう精神病である。
There are different types of the condition, including Munchhausen's where a person pretends that they themselves are ill.	病態にはさまざまな種類があるが、自分自身でも病んでいると偽る、ミュンヒハウゼン症候群も含まれる。
Munchhausen's By Proxy, however, is specifically about making up that someone that you care for is ill.	ところが代理ミュンヒハウゼン症候群というのは、はっきりと自分の保護下にある他者が病気であると偽ることだ。
It is also known as fabricated or induced illness (FII) and is categorised as child abuse.	これはFII、偽造または誘発疾患としても知られ、児童虐待の一種でもある。
It is a rare condition and usually involves a parent exaggerating symptoms or causing symptoms to make it seem like their child is ill.	珍しい症状ではあるが、通常、親が症状を大げさに誇張したり、症状を引き起こして、あたかも子供が病気であるようにみせかけることだ。
What are the signs of Munchhausen's by proxy?	では、代理ミュンヒハウゼン症候群の兆候にはどんなものがあるのだろうか？
The signs of the condition can vary from case to case but the NHS says that things to be aware of include:	病態の兆候はケースバイケースで変化するが、NHSは次のような事項を要注意として挙げている。
Persuading medical professionals that their child is unwell but they seem healthy.	子供は健康そうなのに、具合が悪いと医療者を説き伏せようとする。
Exaggerating or lying about symptoms.	大げさに説明する、または虚偽の症状を訴える。
Manipulating results to suggest the child is ill, for example putting glucose in urine samples to make it look like they have diabetes.	検尿試料にブドウ糖を混入させて糖尿病であると見せかけるなど、子供が病気だと思わせるために検査結果を捏造する。
Inducing symptoms of illness, for example giving them unnecessary medication or other substances.	過剰に医薬品やその他の薬物を投与するなどして病気の症状をわざと引き起こす。
How common is Munchhausen's by proxy?	代理ミュンヒハウゼン症候群はどのくらい一般的なのだろうか？
As many cases aren't reported, it's difficult to know how widespread the condition is.	多くのケースは報告されていないため、この症候群がどれほど広がっているのかを知るのは難しい。
One study published in 2000 estimated 89 cases in a population of 100,000 over a two year period.	2000年に発表されたある研究では、2年間で100,000人中89例発症したと推計された。
What should you do if you think a child is at risk	もし子供への被害が疑われるときには何をすべきか
You can contact your local social services department or telephone the NSPCC's child protection helpline on 0808 800 5000.	地元の社会福祉機関へ相談するか、NSPCCの児童保護ヘルプライン 0808 800 5000まで電話してください。
Nigeria: Police Raid Kaduna School, Evacuate 300 Children	ナイジェリア： 警察によるカドゥナの学校強制捜査、児童300人救出
Kaduna - The Kaduna State Police Command yesterday raided a school, Imamu Ahmad Bn Hambal, located at Layin Maidubun Tsumma at Rigasa in Igabi Local Government Area of the state, arrested seven teachers and evacuated about 300 children.	カドゥナ - カドゥナ州警察は、昨日、イガビ管轄内のレイン・マイドュブン・ツンマにあるイマム・アーマッド・ブン・ハンバル校に強制捜査を行い、教師7名を逮捕し、児童およそ300名を救出した。
The police alleged that the children were kept in a very dehumanising condition; an allegation the school authority denied.	警察は子供たちが非人道的な環境に置かれていたと語っているが、学校側はこの主張を否定している。
A resident who identified himself as Shehu, a preacher in the school, said: "What they're saying is not true because all the children are there with the consent of their parents.	学校の牧師であるシェフと名乗る住民は、「子供たちは全員親の承諾を得て学校に入っているので、彼らの主張は真実ではありません。」と語っている。
The parents signed a form before the children were enrolled in the school.	「子供の入学前に、親は承諾書に署名した。
The parents used to bring food to their children daily and they also know the condition they are in.	親たちは子供への食事を毎日届けに来ていたので、どのような環境にいるかは知っている。
We were very surprised when the police came and evacuated the children as well as removed all the students' food brought by their parents before they shut down the school.	警察がやってきて、子供たちを退避させ、親が届けた食糧もすべて持ち去った後、学校を閉鎖したのにはとても驚いた
This is unfair because we have parents to testify if their children are kept in bad conduction as claimed by the police.	警察が言うようなひどい環境に子供たちを置いていたかどうかを証言できる親たちがいるのに、これは不公平な扱いだ。」
He added that the immediate past Police Commissioner Abdurrahman, who once visited the school to see how the children were taken care, never complained.	彼は、前警察庁本部長アブデュラーマンは、子供たちがどのような環境にいるか確認するために一度訪問したことがあるが、苦情を言ったことは全くなかった、と付け加える。
‎He said the children only studied Quran and nothing else.	また、子供たちはコーランを学んでいただけで、それだけだ、とも言っている。
But the Police Command Public Relations Officer, Yakubu Sabo, said the children would be reunited with their parents after handing them over to the state government.	しかし、警察の広報室室長ヤクブ・サボは、子供たちは州政府に引き渡されたのちに親と再会することになると語っている。
"They were kept in dehumanising condition in the name of undergoing or acquiring Quranic knowledge.	「コーランについての知識を得ると言う名目で、彼らは非人道的な環境に置かれていた。
With many of them with scars on their back which show they were beaten.	多くの子供たちの背中には殴られたような傷跡があった。
So, we're investigating the school to know the owner of the facility," he said.	なので、施設の所有者のことを知るために学校を捜査中なのです」と語った。
Foreign talent important to China's development	中国の発展にかかせない海外人材
Guangdong has been leading the country in terms of attracting foreign talent, due in a large part to the Belt and Road Initiative (BRI), the Guangdong-Hong Kong-Macao Greater Bay Area (GBA), and Shenzhen's new role as a pilot demonstration area.	一帯一路イニシアチブ (BRI)、広東-香港-マカオグレーターベイエリア (GBA)、そして試験実証地区として新たな役割を持った深圳市などが大きな魅力となって、広東省は国内でも海外の頭脳が最も流入している。
Nanfang Media Group has interviewed seven expatriates aged from 10-70 in Guangdong.	南方メディアグループは、広東省在住の10歳から70歳まで、7人の外国人にインタビューした。
Born in 2010 during the Asian Games in Guangzhou, Yash from Singapore said he would like to realize his dream of becoming a scientific doctor in Guangzhou.	2010年アジア競技大会広州大会期間中に生まれたシンガポール出身のヤッシュは、広東省で科学博士になる夢をかなえたいと語った。
Nikita Nikandrov, a Russian student of Shenzhen MSU-BIT University said, "With the BRI, Russian students can study together with Chinese students.	深圳MSU-BIT大学に通うロシア人学生ニキータ・ニカンドロフは「BRIではロシアと中国の学生が一緒に学べます」という。
We can make new ideas and businesses together.	協同して新しいアイデアやビジネスを創出できるんです。
Rachel Rommeswinkel from the US started her career as a beauty blogger in Dongguan and has over one million fans on Bilibili and Weibo.	アメリカ出身のレイチェル・ロメスウィンケルは、東莞市で美容系ブロガーとしてのキャリアをスタートさせたが、現在ではビリビリとウェイボーに百万人を超えるファンがいる。
She said she will keep sharing Chinese traditions, culture and technology through her videos.	レイチェルは、中国の伝統、文化やテクノロジーをこれからも自身のビデオを通じて配信していくと語った。
Leticia de Lassus from France, the head of JJB International Montessori AMI Centers in Guangzhou, agrees that "children's education is like buttoning up one's jacket.	広州JJB国際モンテッソーリAMIセンター長で、フランス出身のレティシア・デ・ラスースは「子供の教育というのは上着のボタンをかけていくようなものだ、と言う。
If the first button is fastened incorrectly, the rest will never find their rightful place.	最初のボタンを掛け違えると、残り全部の場所が違ってしまうんです。
Chinese-American Henry Xiao believes that at the heart of GBA, his company can enjoy multiple benefits in terms of new policies, government policies and capitals, especially the talent.	中国系アメリカ人ヘンリー・シャオは、GBA中心部では、新政策、政府方針、資本や、特に優秀な頭脳へのアクセスなど、自分の会社への恩恵が多数あることを実感している。
Nanta Show producer Sean Choi from South Korea said Guangdong cuisine is famous all over the world, and it has been good to introduce the Nanta Show to Guangdong.	韓国出身でナンタ・ショーのプロデューサーであるショーン・チョイは、広東料理は世界的に有名だし、広東省でナンタ・ショーを広められるのが嬉しいと語った。
Stephan Mohler from Switzerland, the technical quality director at the Pearl River Pianos, thinks the secret of high quality lies in simple work done well.	パール・リバーピアノの技術品質監督でスイス出身のステファン・モーラーは、シンプルな仕事をいかによく仕上げるかが、高品質の決め手だと考える。
To his surprise, many talented young people in China enjoy working, learn to make good products and persist in their drive to be better.	モーラーは、多くの優秀な中国の若者が仕事熱心で良い製品を作ることを学び、常に向上心を高めているその姿に驚いている。
Showing consideration for sexual minorities, Mie removes gender section from prefectural high school applications: Hokkaido Shimbun Newspaper Doshin Online Edition	三重、県立高願書の性別欄削除 性的少数者に配慮：北海道新聞 どうしん電子版
On the 28th it was established that Mie Prefecture Board of Education has made the decision to remove the gender section from prefecture high school applications, a move that was made in consideration of transgender pupils and other sexual minorities whose mental and physical genders do not match.	心と体の性が一致しないトランスジェンダーなどの性的少数者への配慮として、三重県教育委員会が県立高の入学願書の性別欄削除を決めたことが２８日、分かった。
In the 2018 academic year, the board had already changed the gender section of entrance examinations from a selection to a field for students to fill in themselves, also permitting it to be left blank, but from 2020, they will do away with this section altogether.	県教委は１８年度の入学者を対象とした入試で性別欄を選択式から記述式にし無記入も認めていたが、２０年度から項目自体をなくす。
They will instead use questionnaires filled in at junior high schools to allocate classes and determine groups for physical education.	クラス分けや体育のグループ分けなどには、中学が作成する調査書を活用。
However, these questionnaires will likewise gutter the gender selection in favour of a field for students to fill in themselves, giving students the freedom to enter their own personal circumstances.	ただ調査書でも生徒の事情に応じて自由に記入できるよう、選択式だった性別欄を記述式にする。
According to school boards across the nation, Osaka and Fukuoka prefectures have already removed the gender section from public high school applications in 2019, with Hokkaido and Kanagawa Prefecture set to follow suit in 2020.	各教委によると、公立高願書の性別欄は大阪府と福岡県が１９年度からなくし、北海道や神奈川県なども２０年度からの削除を決めている。
Unibet Takes on its Second U.S. Market	ユニベット、二度目のアメリカ市場参入
Kindred Group's flagship brand Unibet takes on its second U.S. Market in Pennsylvania and announces today its official launch into Pennsylvania with the opening of its Sportsbook in partnership with Mohegan Sun Pocono - marking the company's second U.S. market entry in just one month.	キンドレッドグループの旗艦ブランドユニベットはペンシルバニア州で二度目のアメリカ市場参入を果たし、本日、モヒガン・サン・ポコノと共同でスポーツブックをオープンしたことにより、ペンシルベニアでの正式な立ち上げを果たしたと発表、これにより、ユニベットはわずか一か月間に二度のアメリカ市場参入を果たしたことになる。
Mohegan Sun Pocono's full destination offering, combined with Unibet's digital customer experience and data analysis capacity, will create a unique and strong offering in sports betting in the state.	モヒガン・サン・ポコノの既存の施設に、ユニベットのデジタル顧客体験やデータ解析能力を組み合わせれば、アメリカ市場においてユニークかつ強力なスポーツギャンブル体験が生まれる。
Earlier this month, Unibet launched its New Jersey Sportsbook and multi-year partnership with the New Jersey Devils.	今月初めにユニベットは、ニュージャージー州でのスポーツブックの開業ならびにニュージャージーデビルズとの複数年契約を発表している。
We are excited and proud to partner with Mohegan Sun Pocono to welcome patrons to our new Sportsbook and offer a great extention to our online product in one of the largest states to regulate both online sports betting and casino.	モヒガン・サン・ポコノと提携し、生まれ変わったスポーツブックにお客様を迎えできたこと、また、オンラインスポーツギャンブルとカジノの両方を擁した州屈指のオンライン商品に、優れた追加が出来たことを、大変嬉しく思っております。
We wanted a strong partner who shares our dedication to customer experience and values, and we know that together we will offer Pennsylvanians a truly unmatched in-house and soon-to-come online sports betting and casino experience," says Manuel Stan, SVP Kindred US.	顧客満足体験とその価値を我々と共に追求する強力なパートナーを求めておりましたが、この度の提携で他に類を見ないスポーツギャンブルとカジノ体験を、店舗やもうすぐご提供できる予定のオンライン上で、ペンシルベニアの皆様にご提供できると確信しております。」とキンドレッドUSの上級副社長、マニュエル・スタンは述べた。
We've aligned with one of the world's best online casino and sportsbook operators in online regulated markets, which will allow us to offer a best in class experience to our current clients and attract new fans.	我々は、オンライン規制市場の中でも世界屈指のオンラインカジノ企業とスポーツブックメーカーと手を組んで、既存のお客様にはクラス最高の体験をご提供し、新たなファンを呼び込んでいきます。
Introduction of the Unibet offering to the market is a great positive for Mohegan Sun, as well as the State of Pennsylvania," says Aviram Alroy, Vice President of Interactive Gaming at Mohegan Gaming & Entertainment.	ユニベットのサービスの市場導入は、モヒガン・サン社社だけではなくペンシルべニア州にとっても、大きなプラスです。」とモヒガン・ゲーミング・アンド・エンターテイメントのインタラクティブゲーミング部門部長、アビラム・アルロイは語る。
Betting offerings to start will include NFL, NCAA, NHL, NBA, PGA, professional tennis, boxing, UFC, rugby, NASCAR, MLS, Premier League Soccer, La Liga and Bundesliga.	今後はNFL、NCAA、NHL、NBA、PGA、プロテニス、ボクシング、UFC、ラグビー、NASCAR、MLS、プレミアリーグサッカー、ラ・リーガ、ブンデスリーガでの利用が可能になるという。
Powered by Kambi, a world-leading B2B provider of premium sports betting services, the Unibet Sportsbook offers the best sports betting and entertainment experience around.	ユニベットのスポーツブックは、プレミアスポーツでのギャンブルサービスとしては世界一のB2Bプロバイダであるカンビ社のシステムを利用し、最高のスポーツギャンブルとエンターテイメント体験を提供する。
Later this year, together with Mohegan Sun Pocono, Unibet will also launch its Sportsbook and signature casino online as part of the partnership agreement, which will be available via Apple and Android mobile devices.	ユニベットはまた、今年後半にモヒガン・サン・ポコノとともに提携契約のひとつとしてオンラインスポーツブックとユニベットブランドのオンラインカジノを立ち上げるが、これはアップルとアンドロイドの携帯デバイスで利用可能となる。
21 years old Sabalenka defeats number one world ranked Barty, second straight victory <women's tennis>（tennis365.net ） - Yahoo!news	21歳サバレンカ 世界1位バーティ撃破、2連覇へ王手＜女子テニス＞（tennis365.net ） - Yahoo!ニュース
Bukan open	武漢オープン
At Women's tennis Bukan open (China/Bukan, hard, WTA premier five) on 27th, the singles semifinal was carried out, and 9th seed A. Sabalenka (Belarus) defeated top seeded A. Barty (Australia) with a straight 7-5, 6-4, and proceeded to the finals for the second year in a row.	女子テニスの武漢オープン（中国/武漢、ハード、WTAプレミア5）は27日、シングルス準決勝が行われ、第9シードのA・サバレンカ（ベラルーシ）が第1シードのA・バーティ（オーストラリア）を7-5， 6-4のストレートで破り、2年連続2度目の決勝進出を果たした。
[20 years old Sabalenka in the top 10 for the first time]	【20歳サバレンカ 初トップ10へ】
On this day, Sablenka, the winner of last year's tournament, gained points from first serves, with a 75% probability.	昨年の同大会覇者のサバレンカはこの日、ファーストサービスが入ったときに75パーセントの確率でポイントを獲得。
She won in 1 hour 43 minutes, breaking for 3 times the service game by world's number one ranked Barty, who racked up 8 double faults.	8本のダブルフォルトを犯した世界ランク1位のバーティのサービスゲームを3度ブレークし、1時間43分で勝利した。
The Women's Association of Tennis Professionals, WTA, posted a comment by Sabalenka on their official website.	女子プロテニス協会WTAは公式サイトにサバレンカのコメントを掲載している。
"Of course I am happy I made it to the final. It was a difficult match. I wouldn't say we both played at an amazing level, but I'm glad I found a way to win this game."	「もちろん決勝まで来れてうれしい。とてもタフな試合だった。今日は互いに素晴らしいレベルのプレーだったとは言えないけれど、勝つための糸口を見つけることができてよかった」
"This win means a lot to me. I feel better compared to last year. Last year was my first time going to the Premier final and getting the title. This season has been really tough, but I feel I am having fun coming back to this level."	「この勝利は多くの意味が私にはあると思う。去年よりも断然感覚がいい。去年は初のプレミアでの決勝、タイトルだった。今年は本当に厳しいシーズンで、このレベルに戻ってくるのに、楽しむことができている感じ」
21 years old Sabalenka will be playing against 35th world ranked A. Riske (USA) for the second consecutive win.	21歳のサバレンカは決勝で、世界ランク35位のA・リスケ（アメリカ）と2連覇をかけて対戦する。
Riske defeated 5th seed P. Kvitová (Czech) straight at the semi finals and proceeds to final.	リスケは準決勝で、第5シードのP・クヴィトバ（チェコ）をストレートで下しての勝ち上がり。
