India and Japan prime ministers meet in Tokyo	Die Premierminister Indiens und Japans trafen sich in Tokio.
Louisiana is among 11 states that have passed similar laws, with courts recently ruling unconstitutional such measures in Alabama and Mississippi.	Louisiana ist einer von 11 Staaten, die ähnliche Gesetze erlassen haben, wobei Gerichte kürzlich solche Maßnahmen in Alabama und Mississippi für nicht verfassungsgemäß erklärt haben.
Key parts of a Texas law that would have shuttered most remaining clinics in that state were blocked by a federal judge on Friday.	Schlüsselstellen eines Gesetzes in Texas, das die meisten der im Staat verbliebenen Kliniken zur Schließung gezwungen hätte, wurden von einem Bundesrichter am Freitag gestoppt.
Abortion rights campaigners, along with the American College of Obstetricians and Gynecologists and the American Medical Association, say admitting privileges laws impose medically unnecessary requirements on doctors.	Abtreibungsbefürworter und das American College of Ostretricians and Gynecologists sowie die American Medical Association sagen übereinstimmend, dass Einweisungsrechte von Ärzten unnötige Einschränkungen verlangen.
Anti-abortion advocates have countered that the measures aim to protect women's health, though some have also lauded their effect of shuttering clinics.	Abtreibungsgegner halten dem entgegen, dass die Maßnahmen dem Schutz der Gesundheit der Frauen dienen, obwohl einige auch die Auswirkungen einer Schließung von Kliniken begrüßten.
Only one doctor who performs abortions in Louisiana has hospital admitting privileges, the Center for Reproductive Rights said.	Nur ein Arzt, der in Louisiana Abtreibungen durchführt, verfügt über Patienteineinweiserechte, teilte das Zentrum für Reproduktionsrechte mit.
If all other doctors in the state are forced to stop performing abortions, that doctor, fearful for his safety, would stop carrying out the procedure, the group said.	Wenn alle übrigen Ärzte im Staat dazu gezwungen werden, keine Abtreibungen mehr durchzuführen, würde dieser Arzt aus Angst um seine Sicherheit die Operation nicht mehr durchführen, sagte die Gruppe.
In arguing against the ruling, Louisiana officials said they would not punish doctors performing abortions while their applications for admitting privileges were pending.	Bei ihrer Argumentation gegen das Urteil sagten Vertreter des Staates Louisiana, dass sie keine Ärzte wegen der Durchführung von Abtreibungen bestrafen würden, während deren Anträge auf Patienteneinweiserechte noch anhängig wären.
Delayed diagnosis and inability to access best treatment mean ovarian cancer kills more in rural areas	Verzögerte Diagnosen und mangelnder Zugang zu den besten Behandlungsmöglichkeiten führen zu höheren Todesraten durch Eierstockkrebs in ländlichen Gebieten.
Angelina Jolie and her brother James have posted a video tribute to their late mother who died of Ovarian cancer in 2007.	Angelina Jolie und ihr Bruder James haben eine Videohommage für ihre Mutter online gestellt, die 2007 an Eierstockkrebs verstarb.
Women living in rural Australia are at higher risk of dying from ovarian cancer than their city counterparts.	Für Frauen in den ländlichen Gebieten Australiens besteht ein höheres Risiko, an Eierstockkrebs zu sterben, als für Frauen in Städten.
Researchers analysed medical records of more than 1100 Australian women diagnosed with ovarian cancer in 2005, finding just 35 per cent lived for five years after diagnosis.	Forscher analysierten die medizinischen Daten von mehr als 1100 Australierinnen, bei denen 2005 Eierstockkrebs festgestellt wurde, und stellten fest, dass lediglich 25 Prozent fünf Jahre nach der Diagnose noch am Leben waren.
Lead researcher Susan Jordan, of the QIMR Berghofer Medical Research Institute, said those living in regional and remote areas of the state were about 20 per cent more likely to die during the study than those in urban areas.	Die Forschungsleiterin Susan Jordan vom QIMR Berghofer Medical Research Institute sagte, dass für diejenigen, die in ländlichen und abgelegenen Regionen des Staates lebten, das Sterblichkeitsrisiko während der Studie um 20 Prozent höher lag als für diejenigen in Stadtgebieten.
SMALL STUDY: New drugs may slow lung, ovarian cancer	KLEINE STUDIE: Neue Arzneimittel könnten Lungen- und Eierstockkrebs verlangsamen
The researchers tracked the women's medical journeys across seven years.	Die Forscher untersuchten die medizinische Versorgung der Frauen über sieben Jahre.
Dr Jordan said a woman's age at the time of diagnosis, ovarian cancer type, having existing illnesses and socio-economic status also impacted on survival chances.	Dr. Jordan sagte, dass das Alter einer Frau bei der Diagnose, der Typ des Eierstockkrebses, bestehende Vorerkrankungen sowie der soziale und wirtschaftliche Status ebenfalls die Überlebenschancen beeinflussten.
Older women and those whose cancer was more advanced at the time of diagnosis had the poorest survival rates.	Für ältere Frauen und diejenigen, deren Krebs zum Diagnosezeitpunkt bereits weiter fortgeschritten war, lag die Überlebensrate am niedrigsten.
Those living in regional and remote areas of the state were about 20 per cent more likely to die during the study than those in urban areas.	Für diejenigen, die in ländlichen und abgelegenen Regionen des Staates lebten, lag das Sterblichkeitsrisiko während der Studie um 20 Prozent höher als für diejenigen in Stadtgebieten.
Although the study was not designed to determine why women living outside the city were more likely to die from ovarian cancer, Dr Jordan suggested delayed diagnosis and inability to access best treatment might be factors.	Obwohl die Studie nicht untersuchte, warum außerhalb der Stadt lebende Frauen mit höherer Wahrscheinlichkeit an Eierstockkrebs starben, vermutet Dr. Jordan eine verspätete Diagnose und den mangelnden Zugang zu den besten Behandlungszentren als mögliche Faktoren dafür.
"This disease is best treated by gynaecological oncology surgeons and they're mostly based in major cities," she said.	"Diese Krankheit wird am besten von gynäkologischen Onkologen behandelt, und diese sind meistens in größeren Städten zu finden," sagte sie.
Despite improving tele-medicine services to lessen the tyranny of distance, she suggested more fly-in, fly-out services to allow specialists to treat women closer to home and programs to support people in treatment away from their communities could help.	Trotz der Verbesserung der telemedizinischen Dienste, um den Entfernungen etwas entgegenzusetzen, schlug sie als mögliche Abhilfe eine Verstärkung des Service von eingeflogenen Ärzten vor, um Spezialisten die Möglichkeit zu geben, Frauen dichter an deren Wohnort zu versorgen, sowie Behandlungsprogramme für Menschen außerhalb ihrer Region.
Dr Jordan said regardless of geographical status, the study found long-term survival among women with ovarian cancer was poor, reinforcing the need for better treatment and prevention strategies.	Dr. Jordan sagte, dass die Studie unabhängig vom geographischen Status eine schlechte Langzeitüberlebensrate bei Frauen im Eierstockkrebs ergab und unterstrich den Bedarf an besserer Behandlung und Vorsorgestrategien.
The research, funded by the Rio Tinto Ride to Conquer cancer, will be published today in the Medical Journal of Australia.	Die von Rio Tinto Ride to Conquer Cancer finanzierte Studie wird heute im Medical Journal of Australia veröffentlicht.
In March 2012, at 33 years of age, young Gold Coast mum Elisha Neave was told that she had an aggressive form of ovarian cancer.	Im März 2013 erfuhr Elisha Neave, eine junge Mutter von 33 Jahren von der Goldküste, dass sie eine aggressive Form von Eierstockkrebs hatte.
Garden centres rue fall in homeowners	Gartenzentren bedauern sinkende Hausbesitzerzahlen
The drop, coupled with a particular decline in the number of homeowners aged under 35, could result in garden centres losing out on tens of millions of pounds a year when today's young consumers reach the "core gardening age group," according to the HTA's study, which was reported by the Financial Times.	Der Rückgang zusammen mit einem verstärkten Sinken der Anzahl der Hausbesitzer unter 35 Jahren könnte dazu führen, dass Gartenzentren zehntausende Pfund pro Jahr verlieren, wenn die heutigen jungen Konsumenten nach einer Studie der HTA, wie in der Financial Times berichtet, die "Kernaltersgruppe für Gartenprodukte" erreichen.
According to the report, people renting properties spend an average of 55 per cent of the amount that those with their own homes spend on their gardens.	Der Bericht besagt, dass Mieter durchschnittlich 55 Prozent des Betrages ausgeben, die Menschen mit Eigenheim für ihren Garten ausgeben.
It cited the rise in people living in highly urbanised areas with no gardens, the popularity of paving over front gardens for parking and shrinking garden size as other factors threatening the industry, which is worth an estimated £5 billion in sales each year.	Der Anstieg von Menschen, die in hoch urbanisierten Gegenden ohne Gärten leben, das beliebte Verfahren, Vorgärten zu Parkzwecken zu asphaltieren und die sinkende Gartengröße sind weitere Faktoren, die die Branche bedrohen, in der geschätzt 5 Milliarden £ jährlich im Verkauf umgesetzt werden.
Greater London, where home ownership has fallen from 61 per cent to 43 per cent in six years, has Britain's lowest spend per household on gardening products.	Im Großraum London, in dem über einen Zeitraum von 6 Jahren der Anteil an Hauseigentümern von 61 auf 43 Prozent gefallen ist, werden die geringsten Ausgaben für Gartenprodukte pro Haushalt vermeldet.
The HTA and Royal Horticultural Society said that renting property or a lack of garden space did not mean people could not grow plants.	Die HTA und die Royal Horticultural Society weisen darauf hin, dass Wohnen zur Miete oder kleine Gärten nicht bedeuten, dass die Menschen keine Pflanzen ziehen können.
Guy Barter, chief horticultural adviser to the RHS, said: "Container gardening, for example, is especially popular with renters who can move their plants when they relocate."	Guy Barter, Chefgartenberater für die RHS sagte: "Container-Gärtnern ist beispielsweise bei Mietern sehr beliebt, weil sie ihre Pflanzen bei einem Umzug mitnehmen können."
The HTA report identified the period between 1997 and 2005 as the garden retail sector's 'golden age" as a result of increased home ownership and economic prosperity from the late 1980s to mid-1990s.	Der HTA-Bericht identifizierte den Zeitraum zwischen 1997 und 2005 als das "goldene Zeitalter" des Garteneinzelhandels aufgrund steigender Hauseigentümerzahlen und wirtschaftlichen Wohlstands von den späten 1980er bis zur Mitte der 90er Jahre.
It also predicted an improved market this year due to better weather following unfavourable conditions in March and April last year.	Er prognostizierte für dieses Jahr außerdem eine verbesserte Marktsituation wegen des besseren Wetters nach unfreundlichen Wetterbedingungen im März und April letzten Jahres.
In Pakistan, the protest movement led by political opponent, Imran Khan, and the spiritual leader, Tahirul Qadri, continues.	Die vom Oppositionspolitiker Imran Khan und dem Geistlichen Tahirul Qadri angeführte Protestbewegung in Pakistan geht weiter.
In the capital city of Islamabad, around 1000 demonstrators stormed the government-run television station, PTV.	In der Hauptstadt Islamabad haben rund 1000 Demonstranten den staatlichen Fernsehsender PTV gestürmt.
However, information minister, Pervaiz Rashid, said that soldiers had been able to force the protesters back out of the building.	Informationsminister Pervaiz Rashid sagte, Soldaten hätten die Protestierer aber wieder aus PTV-Gebäude drängen können.
The TV station stopped broadcasting for approximately 40 minutes, but has since begun to broadcast again.	Der Sender stellte seinen Betrieb für rund 40 Minuten ein, sendet inzwischen aber wieder.
At the same time, around 3000 demonstrators attempted to reach the official residency of Prime Minister Nawaz Sharif.	Gleichzeitig versuchten rund 3000 Demonstranten, zur Residenz von Premierminister Nawaz Sharif zu gelangen.
Approximately one kilometre away, they clashed with security security services, armed with sticks and stones.	Rund einen Kilometer entfernt davon lieferten sie sich mit Stöcken und Steinen ausgerüstet Zusammenstöße mit Sicherheitskräften.
The police used tear gas.	Die Polizei setzte Tränengas ein.
The demonstrators demanded Sharif's resignation, which he refused.	Die Demonstranten forderten Sharifs Rücktritt, dieser lehnt das aber ab.
The Pakistan Army called for a political solution to the conflict "without delay and without resorting to violence."	Die Armee des Landes mahnt derweil zu einer politischen Lösung des Konflikts, "ohne Zeit zu verschwenden und ohne Gewalt anzuwenden".
Following a meeting at its headquarters on Sunday evening, the military announced: "The Army remains committed to its task of ensuring security for the State".	Nach einer Sitzung im Hauptquartier am Sonntagabend teilte das Militär mit: "Die Armee bleibt ihrer Rolle verpflichtet, die Sicherheit des Staates zu gewährleisten".
The military plays an important role in Pakistan and has taken power by force several times in the past.	Das Militär spielt in Pakistan eine wichtige Rolle und hat bereits häufiger geputscht.
The opposition politician, Imran Khan, accuses Prime Minister Sharif of rigging the parliamentary elections, which took place in May last year.	Der Oppositionspolitiker Imran Khan wirft Premier Sharif vor, bei der Parlamentswahl im Mai vergangenen Jahres betrogen zu haben.
The protests escalated at the weekend, after Khan and Qadri called on their followers to advance to Sharif's residence.	Die Proteste waren am Wochenende eskaliert, nachdem Khan und Qadri ihre Anhänger dazu aufgerufen hatten, zu Sharifs Residenz vorzudringen.
There were three people killed.	Dabei waren drei Menschen getötet worden.
Turkey Summons US Diplomat Over Spying Report	Türkei bestellt US-Diplomat wegen Spionageberichts ein
The Turkish foreign ministry has summoned the most senior U.S. diplomat in the country for clarification of a report about American and British spying in Turkey.	Das türkische Außenministerium hat den dienstältesten US-Diplomaten des Landes zu Auskünften eines Berichts über amerikanische und britische Spionage in der Türkei einbestellt.
Deputy Prime Minister Bulent said the U.S. charge d'affaires and Turkish officials had discussed the report Monday.	Vizepremierminister Bülent sagte, dass der Geschäftsträger der US-Botschaft und türkische Beamte den Bericht am Montag besprochen hatten.
German magazine Der Spiegel and the online magazine The Intercept said that documents provided by former U.S. National Security Agency analyst Edward Snowden show that Turkey was a high priority intelligence target for U.S. and British intelligence services.	Das deutsche Magazin Der Spiegel sowie das Online-Magazin The Intercept meldeten, dass die von dem früheren US-Analysten der Nationalen Sicherheitsagentur, Edward Snowden, zeigen, dass die Türkei ein Haupttätigkeitsgebiet für die US-amerikanischen und britischen Geheimdienste war.
According to Turkish news wires, Turkish President Recep Tayyip Erdogan downplayed the importance of the report, saying that all major countries spied on each other.	Nach Angaben türkischer Nachrichtenagenturen spielte der türkische Präsident Recep Tayyip Erdogan die Wichtigkeit des Berichts herunter und sagte, dass alle wichtigen Länder sich gegenseitig ausspionierten.
An earlier report that Germany's main intelligence agency had also targeted Ankara drew a more angry response from the Turkish government.	Ein früherer Bericht, dass auch der wichtigste Geheimdienst Deutschlands Ankara im Visier hatte, sorgte für deutlich verärgertere Reaktionen der türkischen Regierung.
Warning strike: Train drivers threaten to strike, causing problems for commuters	Warnstreik: Lokführer drohen mit Folgen für Pendler
The nationwide waning strike made by train drivers on Monday evening could also have a negative impact on passenger services in NW.	Der bundesweite Warnstreik der Lokführer am Montagabend könnte auch den Personenverkehr in NRW beeinträchtigen.
The announced walkout will last for between 18 and 21 hours, will affect all transport companies across Germany, including main-line rail, regional trains and city trains,	Der für 18 bis 21 Uhr angekündigte Ausstand betreffe bundesweit alle Verkehrsgesellschaften, auch den Fern-, Regional- und S-Bahn-Verkehr,
The brunt of the strike will affect the transport of goods.	Die Hauptstoßrichtung des Warnstreiks ist der Güterverkehr.
Image: A. Burgi/Archive	Foto: A. Burgi/Archiv
