Biker reagiert blitzschnell und verhindert Schlimmeres	Biker reacts lightning fast and prevents worse.
Die zwei Oppositionsfraktionen warfen Ministerpräsident Markus Söder (CSU) und seinem Kabinett vor, die Kontrolle der Unterkünfte von Saisonarbeitern zu vernachlässigen.	Both opposition parties accused prime minister Markus Söder (CSU) and his cabinet to neglect monitoring the housing for seasonal workers.
"Das kann sich bitter rächen, wenn solche lokalen Infektionsgeschehen ausgreifen und regionale Lockdowns angeordnet werden müssen", sagte Jürgen Mistol, der parlamentarische Geschäftsführer der Grünen.	“That can backfire horribly when such local infections spread and regional lockdowns must be ordered”, said Jürgen Mistol, the parliamentary manager of the Greens.
Das sieht die SPD ganz ähnlich: "Wir haben nach dem Corona-Ausbruch in dem Wiesenhof-Schlachthof Mitte Mai bereits ein Sonderkontrollprogramm auch für Bauernhöfe mit Erntehelfern gefordert", sagte Umweltexperte Florian von Brunn.	The SPD shares a similar view: “We have asked for a special control program also for farms with harvesters after the Corona outbreak in the Wiesenhof slaughterhouse mid May”, said the environmental expert Florian von Brunn.
"Gerade die Hygienebedingungen am Arbeitsplatz und die Wohnverhältnisse müssen aus unserer Sicht scharf kontrolliert werden.	“Especially the hygiene conditions at the work place and the living quarters must - in our view - thoroughly checked.
Das ist offensichtlich nicht passiert".	And that obviously did not happen.”
Der Ausbruch sei "mit Ansage" gekommen.	The outbreak occurred “predictably”.
U-Bahnhof Aidenbachstraße: Gefährlicher Streit: 19-Jähriger fällt nach Schubser ins Gleisbett	U-Bahnhof Aidenbachstraße: Dangerous fight: A 19 year-old fell onto the track after being pushed
Bei einem Streit zwischen zwei Jugendgruppen am U-Bahnhof Aidenbachstraße ist ein 19-Jähriger durch einen Schubser hingefallen und ins Gleisbett gerutscht.	A 19 year-old fell onto the track after being pushed during a fight between two groups of young people at U-Bahnhof Aidenbachstraße.
Obersendling - Am Freitag ist es am U-Bahnhof Aidenbachstraße gegen 16.15 Uhr zu einem Streit zwischen zwei Jugendgruppen gekommen.	Obersendling - A fight broke out between two groups of young people at U-Bahnhof Aidenbachstraße at 16:15h on Friday.
Ein Passant alarmierte die Polizei, die mit mehreren Streifen anrückte.	A passerby called the police, who called-up multiple squad cars.
Ersten Ermittlungen zufolge schubste ein Münchner (17) einen 19-Jährigen zu Boden.	Following initial investigations it seems a boy from Munich (17) pushed a 19 year-old to the floor.
Dabei rutschte der junge Mann über die Bahnsteigkante und fiel ins Gleisbett.	This resulted in the young man slipping over the edge of the platform and falling onto the track.
Personen aus der Gruppe des 17-Jährigen halfen dem Gestürzten aus dem Gleis zu klettern.	People in the 17 year-old’s party helped the fallen boy climb out of the track bed.
Gefahr durch eine einfahrende Bahn bestand nicht.	There was no danger of a passing train.
Wie die Polizei mitteilt, kam es danach wieder zu Auseinandersetzungen zwischen den beiden Personen.	Another scuffle followed between the two persons, according to the police.
Der 17-Jährige floh zunächst vom Tatort, seine Personalien konnten aber im Nachhinein ermittelt werden.	The 17 year-old proceeded to flee the crime scene, however, his personal details could be retrieved later.
In Begleitung seines Vaters begab er sich zur Polizeiinspektion 29.	He reported to the 29th police station with his father.
Gegen den 17-Jährigen wird wegen Körperverletzung ermittelt.	Assault charges are being pursued against the 17 year-old.
Bericht: Seehofer drängt auf längere Vorratsdatenspeicherung	Report: Seehofer pushes for longer telecommunications data retention
Die Vorratsdatenspeicherung ist derzeit ausgesetzt.	Telecommunications data retention is currently suspended.
Bundesinnenminister Horst Seehofer fordert nach einem Medienbericht allerdings eine Verlängerung der Speicherfrist.	However, Federal Minister of the Interior Horst Seehofer is pushing for a lengthening of the retention period according to a press report.
Er will damit den Kampf gegen Kindesmissbrauch stärken.	He would like to support thereby the fight against child abuse.
Bundesinnenminister Horst Seehofer (CSU) fordert nach einem Medienbericht eine verlängerte Vorratsdatenspeicherung - statt den vorgesehenen zehn Wochen ein halbes Jahr.	According to a media report, Federal Minster of the Interior Horst Seehofer (CSU) is pushing for a longer data retention period: a half-year instead of the current ten weeks.
Wie die "Bild am Sonntag" berichtet, bat Seehofer Justizministerin Christine Lambrecht (SPD) in einem Brief um eine schnelle Gesetzesänderung.	As reported by the “Bild am Sonntag”, Seehofer asked the Minister of Justice Christine Lambrecht (SPD) in a letter for an express change to the law.
Seehofer will demnach damit die Maßnahmen gegen Kindesmissbrauch verstärken.	Seehofer wants to strengthen provisions against child abuse thereby.
Er halte es für sinnvoll, "dringend erforderliche Anpassungen im Gesetz bereits jetzt vorzunehmen", zitiert die Zeitung aus dem Schreiben.	He thinks that it makes sense “to take up pressing, necessary alterations to the law now,” the newspaper quoted from his release.
Derzeit ist die Vorratsdatenspeicherung ausgesetzt.	Telecommunications data retention is suspended at the moment.
Es wird eine Entscheidung des EuGH dazu erwartet.	This is waiting on a decision from the EuGH.
Seehofer aber will die Änderungen schon vorher, damit sie nach einem möglichen positiven Urteil sofort angewendet werden könnten, heißt es in dem Bericht weiter.	However, Seehofer wants the alterations earlier, so that as soon as a likely, positive judgement is handed down, it can be implemented immediately, the letter further stated.
Ein Sprecher des Justizministeriums sagte der Zeitung, dass erst sinnvoll geprüft werden könne, ob es gesetzlicher Anpassungen bedarf, wenn die Gerichte entschieden hätten.	A spokesperson for the Ministry of Justice said to the newspaper, that the need for legal alterations shall first be sensibly reviewed following a decision from the court.
Im Kampf gegen Kindesmissbrauch und Kinderpornografie hatte sich Seehofer gemeinsam mit den Innenministern der Länder bereits im Juni für eine Vorratsdatenspeicherung ausgesprochen.	Already in June Seehofer spoke together with the interior ministers of the states in favor of telecommunications data retention in their fight against child abuse and child pornography.
NBA: Stripclub-Ärger für Clippers-Star Lou Williams	NBA: Strip-club problems for Clippers star Lou Williams
Aufregung in der NBA!	Uproar in the NBA!
Lou Williams (33), Basketball-Profi der Los Angeles Clippers, soll das Turnier-Quartier in Disney World in Orlando/Florida mit Erlaubnis für eine Beerdigung verlassen haben.	Lou Williams (33), basketball pro for the Los Angeles Clippers, seems to have left the tournament district in Disney World (Orlando, Florida) with permission to attend a funeral.
Laut US-Medienberichten besuchte er abends aber noch den Stripclub "Magic City" in Atlanta.	According to US media channels, he then proceeded to visit the “Magic City” strip club in Atlanta that evening.
Williams, der den Besuch laut ESPN-Angaben zugegeben haben soll, ist wieder in Isloation, wird täglich auf Covid-19 getetest.	Williams, who according to ESPN admitted to his visit, is in isolation again and is tested daily for Covid-19.
Sein Grund für den Besuch: Chicken Wings.	His reason for the visit: chicken wings.
Im Februar letzten Jahres hat "Sweet Lou", wie er in der NBA genannt wird, bereits seine Liebe für genau diese Wings geäußert.	“Sweet Lou,” as he is called in the NBA, had already expressed his love for just these wings in February of last year.
Der Amerikaner schrieb: "Magic City und Blue Flame (ein anderer Stripclub in Atlanta, Anm. d. R.) haben die besten Wings in der Stadt".	The American wrote: “Magic City and Blue Flame (editorial note: another strip club in Atlanta ) have the best wings in the city.”
NBA-Insider Shams Charania hat am Sonntag bei Twitter verkündet, dass die NBA Williams eine zehntägige Quarantäne verordnet hat.	NBA insider Shams Charania let it be known on Sunday on Twitter that the NBA had subjected Williams to a ten-day quarantine.
Damit verpasst der Clippers-Star die ersten beiden offiziellen Partien nach der Testspiel-Phase.	That is how the Clippers star missed the first two official games after the test-match phase.
In Disney World will die NBA die Corona-Saison zuende spielen.	The NBA will play out the season in Disney World.
Derzeit bereiten sich die besten 22 Mannschaften mit Trainingsspielen auf das in der Nacht auf Freitag beginnende Saison-Finale.	At this moment, the 22 best teams are preparing with training games for the season finals that begin this Friday night.
Söder äußert sich nach Masseninfekton zur Corona-Lage	Söder comments on the Corona situation after mass infection.
München - Gesundheitsministerin Melanie Huml (CSU) hat am Sonntag bereits eine Testoffensive für große Bauernhöfe angekündigt.	Munich - Secretary of Health, Melanie Humi (CSU), already announced on Sunday a testing offensive for large farms.
Die Pressekonferenz wird auf unserer Homepage live zu sehen sein.	You can watch live the press conference on our homepage.
Der Fall in Mamming im Landkreis Dingolfing-Landau hat Behörden und Politik aufgeschreckt.	The case in Mamming, district Dingolfing-Landau, has alarmed authorities and politicians.
Auf dem großen Gemüsebauernhof arbeiten derzeit fast 500 Erntehelfer aus mehreren Ländern, über ein Drittel hat sich mit dem Corona-Erreger infiziert.	On the large vegetable farm are currently working almost 500 harvesters from several countries; more than one third are infected with the Corona virus.
Der Hof steht mittlerweile unter Quarantäne und ist mit einem Bauzaun abgesperrt.	In the meantime the farm has been quarantined; the farm is blocked off with a construction fence.
Niemand darf das Gelände verlassen, Lebensmittel werden angeliefert.	Nobody may leave the premises, food is being delivered.
Den gut 3300 Bewohnern der Gemeinde bieten die Behörden nun kostenlose Corona-Tests.	The authorities are offering free of charge Corona tests to the about 3300 locals of the community.
Da die Erntehelfer wenig Kontakt zur ortsansässigen Bevölkerung hatten, geht das Landratsamt bisher davon aus, dass sich die Infektionen nicht über den Hof hinaus verbreitet haben.	Since the harvesters had little contact with the local residents the district administration assumes so far that infections have not spread beyond the farm.
"Gewissensbisse": Geständnis des mutmaßlichen Brandstifters von Nantes	“The Pain of Remorse”: Confession from the suspected arsonist of Nantes
"Mein Mandant hat sich kooperativ gezeigt", sagte der Anwalt Quentin Chabert der Zeitung.	“My client has shown himself to be very cooperative,” the Lawyer Quentin Chabert told the newspaper.
Der Verteidiger fügte hinzu: "Er bedauert die Taten sehr, das Geständnis war für ihn eine Befreiung".	The defense counsel added: “He regrets his actions very much, the confession was liberating for him.
Sein Mandat sei "von Gewissensbissen geplagt und von dem Ausmaß der Zerstörung sehr mitgenommen".	His client was “plagued with remorse and really taken back by the extent of the damage”.
Im Falle einer Verurteilung drohen dem Mann laut Staatsanwaltschaft zehn Jahre Haft und eine Geldstrafe in Höhe von 150.000 Euro.	In the case of a verdict, the man is looking at ten years in prison and a fine of 150,000 euros according to the prosecution.
Die gotische Sankt-Peter-und-Paul-Kathedrale in Nantes war in der Nacht auf Samstag vergangener Woche bei einem Brand schwer beschädigt worden.	The gothic Cathedral of St. Peter and St. Paul of Nantes was heavily damaged after a fire last Saturday.
Das Feuer war an drei weit voneinander entfernten Stellen in der Kirche ausgebrochen.	The fire broke out in three places in the church, which were at a considerable distance from one another.
Laboruntersuchungen erhärteten den Verdacht auf Brandstiftung.	Laboratory investigations corroborated the suspicion of arson.
Der nun inhaftierte Verdächtige war bereits wenige Stunden nach dem Brand festgenommen worden.	The detained suspect was already arrested just a few hours after the incident.
Er wurde nach einem Tag aber wieder freigelassen.	However, he was let go after just a day.
Der Mann arbeitet als Freiwilliger für die Diözese Nantes und war am Vorabend des Brandes für die Schließung der Kathedrale verantwortlich.	The man was a volunteer for the Nantes diocese and was responsible for closing down the cathedral the night of the fire.
Da es keine Spur für ein gewaltsames Eindringen in die Kirche gab, geriet er rasch ins Blickfeld der Ermittler.	Because there was no sign of a violent break-in to the church, he was quickly under the eye of the investigator.
Über Abschaffung der 50+1-Regel diskutieren	Discussions over abolishing the 50+1 rule
Der frühere DFB-Präsident Reinhard Grindel hat empfohlen, über die Abschaffung der 50+1-Regel nachzudenken.	The former DFB president Reinhard Grindel recommended discussions about phasing out the 50+1 rule.
"Der deutsche Fußball sollte zumindest diskutieren, Bedingungen und klare Regeln für Investoren festzulegen, bevor die EU-Kommission vollendete Tatsachen schafft", sagte Grindel der "Bild am Sonntag".	“German Football should at least discuss setting clear rules and requirements for investors before the EU Commission finishes up with all of the details,” Grindel told the “Bild am Sonntag”.
Er betonte: "Für die Vereine, die am ehesten Bayern und Dortmund gefährlich werden können, wirken die 50+1-Regeln ohnehin nicht: siehe Leipzig oder Leverkusen.	He continued: “The 50+1 rules don’t work at all for the clubs that would most likely be a danger to Dortmund and Bayern: just look at Leipzig and Leverkusen.
Insofern kommt man um die Debatte nicht herum, ob es nicht geboten ist, Vereinen, die in diese Phalanx einbrechen wollen, die Einbeziehung von Investoren zu erleichtern".	In this respect, there is no getting around the debate as to whether to make it easier for clubs, which want to break into this Phalanx, to include investors.”
Er habe aber Zweifel, ob es in der Deutschen Fußball Liga die Bereitschaft gebe, Mehrheitsbeteiligungen zuzulassen, die in der Bundesliga durch die 50+1-Regel untersagt sind.	He has doubts, however, about whether the German Football League is ready to allow majority stakes, which are prevented in the league by the 50+1 rule.
"Es bleibt ein juristisches Risiko, in einem europäischen Binnenmarkt Investitionszäune um den Wirtschaftsstandort Bundesliga zu ziehen", sagte Grindel.	“There is a judicial risk in putting up investment barriers around the Bundesliga’s business locations in the European Single Market,” said Grindel.
Der ehemalige DFB-Chef sieht die Gefahr, dass "die Versuche, für mehr Wettbewerbsbalance in der Bundesliga zu sorgen, am Ende nur die Wettbewerbsfähigkeit unserer Top-Clubs auf europäischer Ebene schwächen, aber nicht zu mehr Spannung in der Meisterschaft führen".	The former DFB head sees a danger that “the attempt to secure fairer competition in the Bundesliga would only weaken the competitiveness of our top clubs on the European level, and not lead to more excitement in the championship”.
Selbst eine Gleichverteilung der TV-Gelder werde keinen entscheidenden Effekt erzielen.	Even distribution of TV funds would not even produce a decisive result.
"Der FC Bayern macht einen Umsatz von 750 Millionen Euro, Borussia Dortmund von 500 Millionen und RB Leipzig von 300 Millionen.	“FC Bayern has a revenue of 750 million euros, Borussia Dortmund of 500 million and RB Leipzig a revenue of 300 million.
Die Unterschiede sind also allein unter den ersten drei Vereinen schon immens.	The difference even between the top three clubs is already immense.
Die anderen 15 Vereine haben einen durchschnittlichen Haushalt von 130 Millionen", erklärte der 58-Jährige.	The other 15 clubs have an average budget of about 130 million,” clarified the 58 year-old.
Mit Blick auf die Vergangenheit fühlt sich Grindel verraten.	Grindel feels betrayed when looking back at the past.
"Leider hat es Personen gegeben, die diesen Fehler bemerkt und an die Presse durchgestochen haben, statt mich darauf anzusprechen", sagte Grindel über die Annahme einer teuren Uhr, die im April 2019 zu seinem Rücktritt geführt hatte.	“Unfortunately, there have been people who have noticed this error and have leaked it to the press instead of bringing it to me directly,” Grindel said referring to the acceptance of an expensive watch, which lead to his resignation in 2019.
"Das hat mich menschlich schon sehr beschäftigt".	“The morality of that has weighed heavy on my mind”.
Das Geschenk im Wert von rund 11.000 Euro hatte er von einem ukrainischen Funktionär erhalten.	The 11,000 euro watch was a gift from a Ukrainian official.
"Ich habe einen Compliance-Verstoß begangen, und es war richtig, daraus die Konsequenzen zu ziehen", sagte Grindel.	“I committed a breach in compliance, and it was right that I reap the consequences of that,” said Grindel.
"Mit dem ominösen Uhrengeschenk bin ich völlig transparent und arglos umgegangen.	“I circumvented innocently and with complete transparently with the ominous watch gift.
Es wussten ja viele im DFB davon".	Many in the DFB knew about this”.
Er habe nie "einen Hehl aus dem Geschenk gemacht", versicherte der 58-Jährige.	He never “made a secret out of the present,” reassured the 58 year-old.
"Das mag man naiv nennen, jedenfalls war diese Form der Transparenz das komplette Gegenteil von Korruption".	“One could call it naive but this form of transparency was the exact opposite of corruption.”
"Black Lives Matter": Verletzte und ein Toter	“Black Lives Matter”: Many injured and one dead
Die Proteste gegen Polizeigewalt in den Vereinigten Staaten haben sich durch Donald Trumps Einsatz von Bundespolizisten in mehreren Städten wieder zugespitzt.	Protests against police brutality in the United States have picked up again after Donald Trump’s use of federal forces in multiple cities.
Am Samstag kam es in verschiedenen Städten zu Zusammenstößen zwischen Demonstranten und Polizisten.	It came to clashes between demonstrators and police in various cities on Saturday.
In Louisville wurden dabei drei Menschen verletzt, in Seattle 16 Menschen festgenommen.	Three people were injured in Louisville; in Seattle, 16 people were arrested.
In Austin wurde eine Person durch Schüsse getötet, während ein Demonstrationszug gerade eine Kreuzung überquerte.	One person died from a gunshot in Austin as a line of protestors were marching over a crossing.
Zuvor war es in Portland während Protesten gegen Rassismus und Polizeigewalt abermals zu Zusammenstößen gekommen.	It has come to clashes multiple times during protests against racism and police violence in Portland in the past.
Die Sicherheitskräfte, darunter Beamte der Bundespolizei, setzten in der Nacht zum Samstag Tränengas ein und trieben Demonstranten gewaltsam auseinander.	Security forces, including representatives of the federal police, used tear gas on Saturday night and violently pushed demonstrators apart.
Hunderte, teils bewaffnete Demonstranten marschierten am Samstag durch Louisville in Kentucky und forderten, dass die Verantwortlichen für den Tod von Breonna Taylor zur Verantwortung gezogen werden sollten.	Hundreds, at times armed, demonstrators marched on Saturday through Louisville in Kentucky and pressed for those responsible for the death of Breonna Taylor be put to justice.
Die 26 Jahre alte Studentin war im März bei einer Drogenrazzia in ihrer Wohnung in Louisville erschossen worden.	The 26 year-old student was shot to death in her apartment in Louisville during a drug raid in March.
Ziel der Razzia war jemand anderer, der gar nicht dort wohnte, und es wurden auch keine Drogen gefunden.	The target of the raid was someone who didn’t even live there and no drugs were found on the scene.
Als am Samstag ein Mitglied einer Gruppe, die sich selbst als bewaffnetes Bündnis schwarzer Amerikaner bezeichnet, einen Schuss abgab, wurden drei Personen verletzt.	Three people were injured as a member of a group, who describe themselves as an armed group of black Americans, let out a shot.
Nach Angaben des Senders NBC wurden sie ins Krankenhaus gebracht.	They were brought to the hospital according to reports from broadcaster NBC.
Keiner von ihnen schwebte in Lebensgefahr.	None of them were in danger of losing their lives.
Die Polizei stellte Barrikaden auf, weil sich auch Gegendemonstranten einer weißen Miliz formiert hatten.	Police put up barricade after a counter-protest of white militia men also formed.
Zu einem Aufeinandertreffen der beiden Gruppen kam es letztlich nicht.	In the end, it never came to a confrontation between the two groups.
Im texanischen Austin wurde eine Person im Zuge einer "Black Lives Matter"-Demonstration erschossen und verstarb.	In Austin, Texas someone marching in a “Black Lives Matter” demonstration was shot and killed.
Die Polizei nahm nach eigenen Angaben einen Verdächtigen in Gewahrsam.	According to their own releases, the police have a suspect in custody.
Nähere Angaben zu den Umständen der Tat machte sie bislang nicht.	They have made no further statements concerning the circumstances of the crime.
Bürgermeister Steve Adler teilte laut der "New York Times" mit, er sei, wie viele in der Stadt, "untröstlich und fassungslos" wegen dem, was geschehen sei.	According to the “New York Times”, Mayor Steve Adler let it be known that like many in the city he was “speechless and inconsolable” about what had happened.
Auch in der amerikanischen Metropole Seattle lieferten sich Demonstranten am Samstag Zusammenstöße mit der Polizei.	In the American metropolis of Seattle demonstrators also ran into clashes with police on Saturday.
Sie steckten vor einem Jugendgefängnis Bauwagen in Brand, die Polizei setzte Blendgranaten und Pfefferspray ein.	They set construction trailers on fire in front of a youth detention center, the police used stun grenades and pepper spray.
Nach Angaben der "Seattle Times" wurden 16 Menschen wegen Widerstands gegen Polizisten oder Körperverletzung festgenommen.	According to the “Seattle Times”, 16 people were taken in for resisting arrested and assault.
In der Stadt Oakland in Kalifornien wurde ein Gerichtsgebäude in Brand gesteckt.	A courthouse was set on fire in Oakland, California.
Eine kleine Gruppe von Demonstranten habe Fenster eingeschlagen, Feuerwerkskörper abgeschossen und Polizeibeamte mit Lasern geblendet, teilte die Polizei von Oakland am späten Samstagabend (Ortszeit) mit.	A small group of demonstrators broke in windows, lit off fireworks and blinded police with lasers, reported Oakland Police late Saturday evening (local time).
Das Feuer konnte rasch wieder gelöscht werden.	The fire could quickly be put out.
In Aurora, einem Vorort von Denver in Colorado, fuhr ein Auto durch eine Menschenmenge, die auf einer Autobahn demonstrierte.	In Aurora, a suburb of Denver in Colorado, a car drove through a crowd of people who were protesting on the highway.
Wie die Polizei mitteilte, feuerte einer der Demonstranten eine Waffe ab und mindestens eine Person wurde verletzt ins Krankenhaus gebracht.	As the police report it, one of the demonstrators fired a weapon and at least one person was injured, brought to the hospital.
Außerdem wurden auch dort in einem Gericht Fenster eingeschlagen und es wurde ein Feuer gelegt, wie die Polizei mitteilte.	Apart from that, the window of a courthouse was also broken in and a fire started, according to police.
Ermittlungen wurden aufgenommen.	Investigations have been taken up.
Rakoczy in Bad Kissingen: Historische Kostüme trotzen Corona	Rakoczy in Bad Kissingen: Historic costumes in spite of corona
Obwohl die große Sause in der Kurstadt fehlte, genossen Besucher und Darsteller das Rakoczy-Flair des Alternativ-Programms.	Although the great pub crawl through the Kurstadt didn’t take place, visitors and performers enjoyed the Rakoczy flair of the alternative program.
Es war ungewohnt für Besucher, Darsteller und Organisatoren: Das Rakoczy-Wochenende ohne Rakoczy-Fest.	It was unusual for victors, performers and organizers: The Rakoczy weekend without the Rakoczy festival.
Aber: Auch wenn die große Partymeile in der Innenstadt fehlte, die Menschenmassen und Programmhöhepunkte wie Saale brennt, Rakoczy-Ball oder Festzug, so kamen doch viele beim Corona-konformen Alternativprogramm auf ihre Kosten.	But: Even though the great party mile in the city center was missing, including the crowds and program highlights like the burning of the Saale, the Rakoczy Ball or the parade, many still came in their costumes to the corona-conforming alternative program.
"Ich denke es ist uns gelungen, Rakoczy-Flair zu verbreiten", sagt Kurdirektorin Sylvie Thormann.	“I think we still succeeded in spreading Rakoczy flair,” said the Kurstadt director, Sylvie Thormann.
Die Gäste hätten es gut angenommen.	The guests seem to have taken it well.
Im Prinzip kehre man zu den Anfängen des Rakoczy-Festes zurück, als auch allein die Historischen im Fokus des Festes standen.	One looks back to the founders of the Rakoczy festival as a matter of principle, because the historic is the focus of the festival.
Angenehme Atmosphäre	Pleasant atmosphere
Vesna Konhäuser besucht mit ihrem Mann seit mehr als 25 Jahren immer zum Rakoczy-Fest Bad Kissingen.	Vesna Konhäuser has been visiting the Rakoczy Festival in Bad Kissingen for more than 25 years.
So auch diesmal im Corona-Jahr.	Even this time during the corona year.
Das Paar hat es sich am Luitpold-Casino gemütlich gemacht, beobachtet die Historischen beim Flanieren und hört der kubanischen Livemusik am Spielbank-Restaurant zu.	The pair made themselves comfortable at the Luitpold Casino, watched the historic figures as they wandered and heard live Cuban music at the Spielbank Restaurant.
"Ich finde es auch so ganz angenehm", sagt Konhäuser.	“I find it really pleasant even this way,” said Konhäuser.
Sie vermisse die Menschenmassen, die sonst zu Rakoczy dazugehören nicht.	She didn’t miss the crowds that are normally a part of Rakoczy.
Dafür fehlen ihr aber die üblichen Programm-Höhepunkte, allen voran Saale brennt am Freitagabend sowie der historische Festzug und das Abschlussfeuerwerk am Sonntagabend.	However, she did miss the rest of the program highlights, most of all the burning of the Saale on Friday evening as well as the historic parade and the concluding fireworks on Sunday evening.
"Das ist schon schade.	“It is a shame.
Das Wetter hätte dieses Jahr super gepasst", meint sie.	The weather this year would have made it perfect,” she said.
Rakoczy-Reitturnier soll wieder stattfinden	The Rakoczy horse show is supposed to take place again
Für die Darsteller der historischen Kurgäste bedeutete das Alternativprogramm teilweise mehr Arbeit.	The alternative program meant more work at times for the historic guest performers.
Etwa für Christina Gold, die in einem normalen Jahr am Festzug mitwirkt und dort auf der Kutsche des Kurgartencafés zu sehen ist.	This is true for Christina Gold, who in a normal year helps out with the parade and can be seen there ridding in the carriage of the Kurgarten Café.
Dieses Jahr war sie samstags und sonntags in Kostüm zu Fuß in der Stadt unterwegs.	This year she was out and about in the city in costume on Saturday and Sunday.
"Das ist schon anstrengender, sonst haben wir es leichter", meint sie.	“That was pretty stressful, usually it’s easier for us,” she said.
Der Reiterverein hatte weniger zu tun, auch wenn einzelne Reiter im Park unterwegs waren.	The riding club had less to do even though individual riders were out in the park.
"Wir hoffen sehr, dass die Reiterquadrille im kommenden Jahr wieder stattfinden darf", sagt die Vorsitzende Ulrike Waldhofen.	“We are hopeful that the rider’s quadrille will take place in the coming years,” said Chairwoman Ulrike Waldhofen.
Sie kündigte an, dass nach mehreren Jahren Pause 2021 auch wieder ein Rakoczy-Reitturnier stattfinden soll.	She announced that a Rakoczy riding tournament should also be taking place in 2021 following a multiple year break .
28 Corona-Fälle bei spanischem Zweitligisten Fuenlabrada	28 corna cases for the Spanish second-league club Fuenlabrada
Der spanische Fußball-Zweitligist CF Fuenlabrada schlittert wegen eines Corona-Ausbruchs immer tiefer in die Krise.	The Spanish football second-league club CF Fuenlabrada are sliding even deeper into crises following a corona outbreak.
