Dominic Raab: Government can't make apologies for Spain quarantine decision	Dominic Raab：政府不能为隔离西班牙的决定道歉
"Tens of thousands of people have already been given convalescent plasma in the US but these treatments were not randomised," said Professor Martin Landray, one of the founders of the Recovery programme.	康复计划的发起人之一、大规模药物临床试验专家 Martin Landray 教授表示：“未经临床随机试验的情况下，美国已经有成千上万的人接受了恢复期血浆治疗。”
"They just give individuals convalescent plasma in the hope it will work. Vast quantities have been given and they still have no idea whether it helps or harms or has no impact," added Landray, an expert in the setting up of large-scale drug trials.	Landray 补充道：“他们只是给个人提供恢复期血浆，但并不知道是否有效。尽管他们已经向大量民众提供了恢复期血浆，但仍不明确该血浆是否有效果、是否对人体有害、是否有副作用。”
The US is failing to do large, randomised trials and that ends up providing bad medicine	美国未进行大规模临床随机试验，最终提供了不良药物
Randomised drug trials are the gold standard for pinpointing useful medicines.	临床随机药物试验是判断药物是否有效的黄金标准。
They remove unconscious biases that might cloud clinicians' judgments.	通过试验，可消除可能影响临床医生判断的无意识偏见。
Thousands of people are given a drug and thousands of others are given a placebo.	在临床随机药物试验中，受试者分为治疗组和安慰剂组。
No one knows which they have been given.	没人知道受试者接受了哪种药剂。
Then results are compared and the efficacy of the treatment revealed.	然后，比较试验结果以得出哪种药剂具有治疗效果。
In this way, Recovery was able to demonstrate that the steroid dexamethasone reduced deaths by a third in Covid-19 patients on ventilators.	通过这种方式，康复计划证明了类固醇地塞米松可将通过呼吸机治疗的新冠患者的死亡率降低三分之一。
It also showed that the much-hyped drug hydroxychloroquine - as well as the combined therapy of the drugs lopinavir and ritonavir - had no effect in saving patients' lives.	计划还表明，大肆宣传的药物羟氯喹以及洛匹那韦和利托那韦的联合疗法对患者无效。
Crucially these trials needed very large numbers of patients and no single hospital has enough for such research.	最重要的是，这些试验需要大量的患者参与，然而没有一家医院有足够的患者供其研究。
Britain has had one key advantage - a centralised National Health Service.	英国的关键优势在于其集中的国家医疗服务体系。
By contrast, the US health service is fragmented and its only success in pointing a possible treatment has been highlighting the usefulness of the highly expensive drug remdesivir for speeding recovery of some Covid-19 patients.	相较而言，美国的医疗服务体系并不完善，其唯一的成果就是指出价格昂贵的瑞德西韦并不能加速新冠患者的康复。
"There are lots and lots of small drugs trials involving a few dozen or a few hundred patients going on in the US but nothing of any substance," added Landray.	Landray 补充道：“在美国，正进行着许多几十名或几百名患者参与的小规模药物试验，但是并未取得实质性成果。
"They are failing to do large, randomised trials and that ends up providing bad medicine. It makes the practice of medicine poorer and the outcomes for patients poorer."	他们并未进行大规模临床随机试验，最终提供了不良药物。这使得医疗效果和患者预后情况都很差。”
Landray said this failure was particularly exasperating when it came to the use of convalescent plasma, which many doctors believe could have a key role to play in treating seriously ill Covid-19 patients.	Landray 表示，很多医生认为恢复期血浆能在针对新冠重症病人的治疗中起到重要作用，但实际情况并非如此。
"If you look at the US, huge quantities of this treatment have been used on an arbitrary willy-nilly basis. The UK excels beyond measure compared with what's going on there," he added.	他补充道：“美国在未经临床随机试验的情况下，向大量患者采取了恢复期血浆疗法。与美国相比，我们取得了巨大成就。”
Professor Peter Horby, an expert on infectious diseases and the other founder of the Recovery programme, said:	另一位康复计划发起人、传染病专家 Peter Horby 教授说：
"There have been reports of 20,000 patients getting convalescent plasma in a cohort but none of those patients were randomised. If they had put these patients into randomised trials, we would now have a clear answer about the effectiveness of convalescent plasma."	“有报道称，一个队列中有 20,000 名患者接受了恢复期血浆治疗，但是他们并不是临床随机试验患者。如果他们也对这些患者进行了临床随机试验，那么我们现在也就能明确知道恢复期血浆的效果。”
Horby added that UK Recovery has now launched a randomised trial of convalescent plasma but does not expect results to be ready until later this year.	Horby 补充道，目前英国康复试验计划已经启动了恢复期血浆的临床随机试验，但预计要到今年年底才会有研究结果。
Salmonella outbreak sickens 212 people in 23 states	23 个州爆发沙门氏菌疫情，已致 212 人感染
July 25 (UPI) -- The Centers for Disease Control and Prevention is investigating an outbreak of salmonella that has sickened 212 people in 23 states.	7 月 25 日（合众国际社）——美国疾病控制与预防中心（CDC）正在对 23 个州爆发的沙门氏菌疫情展开调查，此次疫情已致 212 人感染。
In a Friday press release the CDC reported that 87 people had become ill since its last update on the outbreak Tuesday.	在周五发布的新闻中，CDC 报告称，自上周二更新疫情以来已发现 87 例感染患者。
The agency said people began showing symptoms linked to a strain of salmonella, which can take two to four weeks to manifest symptoms, between June 19 and July 11.	CDC 表示，6 月 19 日至 7 月 11 日开始有人表现出感染沙门氏菌的相关症状（可能需要二到四周的时间才会显现症状）。
Thirty-one people have been hospitalized since the outbreak began, but no fatalities have been reported.	自疫情爆发以来，已有 31 位患者被收治入院，目前尚无死亡报告。
According to the CDC, a specific source for the salmonella strain has not been identified.	CDC 指出，沙门氏菌菌株的具体来源尚不明确。
It has not issued any advisement against eating or consuming particular foods, nor named retailers that might be selling contaminated products.	CDC 没有发布禁食或禁用特定食物的建议，也没有提到任何可能销售受污染商品的零售商。
Oregon has had the most cases of salmonella, with 51 infections, with Utah following close behind with 40 reported cases.	俄勒冈州报告的沙门氏菌病例最多，共有 51 例；犹他州紧随其后，共报告了 40 例。
Salmonella is a bacterial, foodborne illness that causes 1.35 million infections, 26,500 hospitalizations, and 420 deaths each year, according to the CDC.	CDC 表示，沙门氏菌是一种细菌性食源性疾病，每年导致 135 万人感染，26,500 人住院治疗和 420 人死亡。
The most common symptoms of salmonella infection are diarrhea, fever, and stomach cramps, which can begin between six hours and six days after exposure.	感染沙门氏菌后的常见症状包括腹泻、发烧和胃痉挛，这些症状可能在接触病菌后的六小时到六天内开始显现。
The illness usually lasts four to seven days, and most people recover without treatment, but some cases require hospitalization.	病状通常会持续四到七天，大多数人无需治疗即可康复，但某些病例需要住院治疗。
Couple MACED at California dog park for not wearing face masks while having lunch (VIDEO) - RT USA News	加州狗狗公园夫妇被袭，皆因午餐时未戴口罩（视频）——RT 电视台美国新闻
There's mask-shaming and then there's full on assault.	先是口罩羞辱，后有拳打脚踢。
A California couple having lunch with their puppy at a dog park experienced the second, when an irate woman pepper-sprayed them for refusing to mask up... while eating.	加利福尼亚的一对夫妇在狗狗公园与他们的爱犬一起共进午餐时就遇到了这种情况。一位妇女怒冲冲地向他们喷射胡椒喷雾，就因为他们没有在吃东西时戴上口罩。
Ash O'Brien and husband Jarett Kelley say they were grabbing a bite to eat at Dusty Rhodes dog park in San Diego on Thursday, with their three-month-old pug in tow.	Ash O’Brien 和丈夫 Jarett Kelley 称，周四他们带着三个月大的巴哥犬在圣地亚哥的 Dusty Rhodes 狗狗公园吃午餐。
The pair had their masks off to eat, when a "random old lady" approached, calling them "idiots" for not masking up, even though "you can't wear a mask and eat at the same time."	夫妇二人取下口罩准备吃东西时，一个“不知从哪冒出来的老太太”走过来叫他们“白痴”，因为他们没有戴口罩，虽然他们说“戴着口罩怎么吃东西”。
O'Brien told the woman to leave the park and stop harassing her, at which point the woman unleashed a can of mace at the couple.	O’Brien 让这名女子离开公园并停止她的骚扰行为，这时，女子对着两人喷射胡椒喷雾。
Video footage captured by a bystander begins with Kelley wrestling the spray can from the woman, and getting a dose of mace into the face for his troubles.	旁观者拍下的视频从 Kelley 与女子争夺喷雾罐开始，他因此被喷了一脸。
O'Brien can be heard crying in the background as the attacker walks away with her dogs.	袭击者带着狗离开后，背景声里可以听到 O’Brien 哭泣。
O'Brien shared the video on Facebook and told ABC 10 that she wants to see the woman "go to jail."	O’Brien 将这段视频上传到脸书网，并向 ABC 10 频道表示希望这名女子“进监狱”。
Face masks are mandatory across the state of California, even in fresh air.	加州全域强制要求佩戴口罩，即使是在空气新鲜的地方。
These masks can only be removed at a select few times, including when eating or drinking.	人们只能在规定的时段取下口罩，譬如饮食的时候。
However, nowhere in the state's coronavirus guidelines does it say that bystanders may use non-lethal weapons to enforce this policy.	但是，该州的新冠疫情防控指南并没有提及旁观者可以使用非致命性武器来督促这一规定的执行。
Even in the current era of "mask-shaming," that's still a crime carrying a penalty of a fine of $1,000 or up to three years in a state prison.	即使在当前这个“口罩羞辱”时代，这也是一种犯罪，会被处以 1,000 美元罚款或州监狱三年以下刑期。
Flat, Free Education For Indore Egg Seller Paras Raykar Whose Cart Was Overturned Allegedly Over Rs. 100 Bribe	卖鸡蛋的印多尔男孩因拒绝行贿车被掀翻，后获得一套公寓及免费教育100 卢比的贿赂
Paras Raykar's cart carrying eggs was allegedly overturned Thursday by the civic officials in Indore.	据报道，周四，Paras Raykar 装满鸡蛋的小车被印多尔市政官员掀翻。
Two days after the story of a 13-year-old egg seller's cart being overturned by civic officials went viral on social media, the Indore-based boy has found overwhelming support from people across the country, helping them recover from the losses and manage to start their business again.	这名 13 岁男孩卖鸡蛋不成，小车被市政官员掀翻的故事在社交媒体上传播开来，两天后，这名住在印多尔的男孩收到了来自全国各地的支持，帮助他们家挽回损失，重新开始做生意。
The boy's family also claimed that politicians including Congress leader Rahul Gandhi and Delhi Chief Minister Arvind Kejriwal have reached out to them and offered support.	男孩的家人还说，包括国民大会党党魁 Rahul Gandhi、德里首席部长 Arvind Kejriwal 在内的政客也联系他们并提供帮助。
The boy's family also received a flat and offer to take care of the educational expenses of the children in the family.	男孩的家人还获赠一套公寓，并收到为孩子们承担教育费用的承诺。
Paras Raykar's cart carrying eggs was allegedly overturned Thursday by the civic officials in Indore, where the administration has implemented the "left-right" rule for the staggered opening of shops amid the coronavirus pandemic.	据报道，周四，Paras Raykar 卖鸡蛋的小车被印多尔市政官员掀翻，在疫情肆虐之际，市政府实施了“从左到右”交错开店的措施。
A video in which the boy alleged that the officials had warned him in the morning to remove his cart or pay Rs 100 as bribe had gone viral on social media.	在一段视频里，男孩说，当天上午，官员警告他，如果不支付 100 卢比的贿赂金就把他的小车掀翻，这段视频在社交媒体上迅速传播开来。
When he refused, the officials tipped his cart over, destroying all the eggs, the boy alleged.	男孩说，他拒绝交出 100 卢比后，那些官员就把他的小车掀翻，把所有鸡蛋砸碎。
The boy had also claimed that his daily sale has been down due to the pandemic and the loss of his stock will put additional financial burden on him, in the video.	男孩还在视频里说，受疫情影响，鸡蛋的日均销量都下降了，损失的这些鸡蛋对他来说更是雪上加霜。
Since Thursday, the boy's family has been overwhelmed with support from people across the country, many of them offering help in both cash and kind.	自周四以来，男孩的家人收到了大量来自全国各地的支持，许多人向他们提供了现金或者善意的帮助。
The family has also received help from locals.	当地人也向这家人伸出援手。
While former chief minister Digvijaya Singh has offered financial support and help to get the children admitted in a college, BJP MLA from Indore, Ramesh Mendola, has assured to provide a house under the Pradhan Mantri Awas Yojana to the child.	前首席部长 Digvijaya Singh 对他们进行了资助，并帮助孩子们入读一所学院；人民党议会议员 Ramesh Mendola 也保证将根据 Pradhan Mantri Awas Yojana 住房计划为男孩一家提供一套公寓。
Indore Press Club has also provided ration and money to the boy.	印多尔记者俱乐部还为男孩提供了口粮和金钱。
Congress leader Rahul Gandhi's office and Delhi Chief Minister Arvind Kejriwal has also offered help.	国民大会党党魁 Rahul Gandhi 的办公室和德里首席部长 Arvind Kejriwal 也伸出了援手。
"We are overwhelmed by the support from people across the country.	Paras 的爷爷说：“我们获得全国各地很多人的支持。
(BJP MLA) Ramesh Mendola has assured a flat under the Pradhan Mantri Awas Yojana.	（人民党议会议员）Ramesh Mendola 保证会根据 Pradhan Mantri Awas Yojana 住房计划为我们提供一套公寓。
He has also provided a cycle and Rs 2,500.	他提供了一辆自行车和 2,500 卢比的资助。
Digvijaya Singh has provided Rs 10,000 and assurance to look after the education of the two children.	Digvijaya Singh 则资助了 10,000 卢比，还承诺照顾两个孩子的教育。
Rahul Gandhi's office has also called and offered support.	Rahul Gandhi 的工作人员也给我们打电话提供帮助。
A woman from Delhi Chief Minister Arvind Kejriwal called and offered help.	（代表）德里首席部长 Arvind Kejriwal 的一位女性工作人员也给我们打电话并帮助我们。
Jyothiraditya Scindia has also offered support," Paras's grandfather said.	Jyothiraditya Scindia 也给予了支持，”。
Home Secretary Priti Patel demands explanation from Twitter and Instagram over 'abhorrent' Wiley tweets	内政大臣 Priti Patel 要求 Twitter 和 Instagram 就 Wiley 发布的不妥内容做出解释
Priti Patel has demanded an explanation from Twitter and Instagram over the length of time it took to remove "abhorrent" posts made by Wiley.	由于 Twitter 和 Instagram 未能及时删除 Wiley 发布的不妥内容，Priti Patel 要求两个平台做出解释。
Police are currently investigating a series of antisemitic comments posted on the Grime artist's social media accounts.	警方目前正对这位 Grime 歌手在社交媒体上发布的一系列反犹太言论展开调查。
The Home Secretary tweeted on Sunday: "The antisemitic posts from Wiley are abhorrent.	内政大臣周日发推称：“Wiley 发布的反犹太主义内容极度令人不豫。”
"They should not have been able to remain on Twitter and Instagram for so long and I have asked them for a full explanation.	“Twitter 和 Instagram 没有及时删除这些内容，我已要求他们作出充分的解释。
"Social media companies must act much faster to remove such appalling hatred from their platforms."	社交媒体公司必须更快采取行动，将这些令人震惊的仇恨言论从平台上删除。”
Twitter was accused of "ignoring antisemitism" as Wiley's tweets were still visible 12 hours after they were first posted.	他批评 Twitter “无视反犹太主义”，因为 Wiley 的推文在发布 12 个小时后仍然可见。
A number of tweets have since been removed and the 41-year-old has been issued a seven-day ban by the site.	此后网站删除了多条推文并将这位 41 岁歌手的账号封禁七天。
Twitter previously said Wiley's account had been temporarily locked "for violating our hateful conduct policy," while Facebook said there was "no place for hate speech on Instagram."	Twitter 此前表示，“因为违反了我们的仇恨行为政策”，已暂时关闭 Wiley 的账户，Facebook 则表示 “Instagram 上不允许存在仇恨言论”。
The Metropolitan Police said on Saturday: "The Met takes all reports of antisemitism extremely seriously. The relevant material is being assessed."	周六，大都会警察局称：“大都会警察局极其关注所有关于反犹太主义的报告。我们正在对相关材料进行评估。”
Meanwhile, Wiley's management company, A-List Management, "cut all ties" with the star.	同时，Wiley 的经纪公司 A-List 经纪公司也与这位明星“断绝一切关系”。
The artist's now former manager, John Woolf, who is Jewish, wrote on Twitter: "Following Wiley's antisemitic tweets today we at @A_ListMGMT have cut all ties with him. There is no place in society for antisemitism."	这位歌手的前经纪人 John Woolf 也是犹太人，他在推特上写道：“鉴于 Wiley 今天发布的反犹太内容，我们 @A_ListMGMT 已经与他断绝一切关系。这个社会没有反犹太主义的容身之处。”
He had earlier said he did not support or condone what Wiley posted but that he would speak to him privately and "help educate him."	早些时候，他曾表示既不支持也不纵容 Wiley 的言论，但会私底下进行交流并“教育他”。
However, in a video on Instagram, Wiley appeared to say it was him who had cut ties with his management.	然而，一段 Instagram 视频显示，似乎是 Wiley 与其经纪公司断绝了关系。
Other MPs criticised Twitter for allowing the tweets to remain visible.	其他议员也批评 Twitter 未能及时删贴。
Labour MP Jess Phillips said on Saturday: "Just seen all the Wiley stuff. Why on earth have @Twitter left up such blatant antisemitism and hatred? It hits all the dangerous beats, Jews get things you don't get, they are in control, they think their better... This is dangerous stuff. Surely it should come down."	工党议员 Jess Phillips 于周六表示：“我刚刚看了 Wiley 发布的东西。为什么 @Twitter 让如此明目张胆的反犹太主义和仇恨内容得以保留？它涉及很多危险的观点：犹太人得到了你得不到的东西，他们掌控一切，他们认为自己更优秀，等等。这样的内容很危险，应当予以删除。”
Fellow MP Neil Coyle added: "His management appear able to act quicker than @Twitter emphasising, once again, that legislation (including the Online Harms Bill) should ensure social media platforms are not used to spread hate."	议员 Neil Coyle 补充说：“他的经纪公司似乎比 @Twitter 反应更快，我再重申一下，应当通过立法（包括《在线危害法案》）确保社交媒体平台不会被用来散播仇恨。”
John Mann, the government's independent adviser on antisemitism, said the tweets "demonstrated precisely why the law needs changing to hold them to reasonable account."	政府反犹太主义独立顾问 John Mann 称这些推文“精准地反映了为什么需要对法律做出修改，从而合理地进行责任追究。”
Meanwhile, the Campaign Against Antisemitism asked police to investigate Wiley's content and called on his social media accounts to be shut down "to prevent further outpouring of anti-Jewish venom."	打击反犹太主义运动也要求警方调查 Wiley 的内容并呼吁关闭他的社交媒体帐户，“以防再度喷出反犹太毒液”。
Wiley, known as the Godfather of Grime and whose real name is Richard Cowie, received an MBE for services to music in 2018.	Wiley 本名 Richard Cowie，有 Grime 音乐教父之称，曾因在音乐方面的贡献于 2018 年被授予 MBE 勋章。
Kudlow says next coronavirus stimulus bill will include more checks, extend moratorium on evictions	Kudlow 称下一个新冠救助计划有更多纾困支票并延长暂停驱逐时间
White House economic adviser Larry Kudlow promised on Sunday that the federal government will extend the moratorium on evictions and send out another round of checks as part of the next coronavirus stimulus package.	白宫经济顾问 Larry Kudlow 周日承诺，根据下一个新冠疫情救助计划，联邦政府将延长暂停驱逐的时间，并发放新一轮纾困支票。
Kudlow's comments come after a week where the White House's hoped for payroll tax cuts were shot down by Congress.	Kudlow 作出承诺的前一周，白宫的工资税削减方案才被国会否决。
"There's a $1,200 check coming. That is going to be part of the new package. I would have preferred a payroll tax cut, on top of that check," Kudlow said on CNN's "State of the Union.	“我们还会发放 1,200 美元的纾困支票。这将是新计划的一部分。除了纾困支票，我更希望削减工资税，” Kudlow 在 CNN 的 State of the Union 节目上表示。
"But, be that as it may, politically, it doesn't work."	“即便如此，这在政治上却行不通。”
While no deal has been officially announced, Treasury Secretary Steve Mnuchin and White House chief of staff Mark Meadows have been on Capitol Hill recently to discuss the details of a new relief package with congressional leaders.	虽然政府还未公布任何计划，但财政部长 Steve Mnuchin 和白宫办公厅主任 Mark Meadows 最近都在国会与国会领导人们探讨新一揽子救助计划的细节。
On ending the additional $600 in unemployment benefits the federal government was supplying, Kudlow argued that the extra money was hurting small businesses from hiring workers.	在终止联邦政府额外提供的 600 美元失业救济金的问题上，Kudlow 表示，这笔钱不利于小企业雇工。
"We have had a flood of inquiries and phone calls and complaints that small stores and businesses, restaurants can't hire people back," he said.	他说：“我们接到了大量的询问、电话和投诉，称小商店、小企业和小饭馆雇不到人了。”
"They went too far. Maybe last March, it was necessary for that, but, really, there are consequences of people not returning to work."	“这项福利带来了副作用。去年 3 月，我们可能必须提供这项福利，但实际情况是，人们不回去工作会造成一定的后果。”
Mnuchin earlier in the day on "Fox News Sunday" said it a little more bluntly: "I think workers and Americans understand the concept that you shouldn't be paid more to stay home than to work."	当日早些时候，Mnuchin 在《福克斯周日新闻 》节目中说得更直白一些：“我认为，工人和美国人都明白这样一个概念：待在家里的人收入不应该比去工作的人还要多。”
Mnuchin said the new bill will provide additional unemployment benefits, but noted that it will be less than the payments issued under the CARES Act.	Mnuchin 表示，新的救助计划将提供额外的失业救济金，但他也指出，金额会少于根据《冠状病毒援助、救济和经济安全法案》 (CARES Act) 提供的救济金。
He said some workers were collecting more than they earned on the job.	他表示，部分工人获得的救济金比他们的工作收入还要多。
As a result, when businesses were reopening some employees did not have an incentive to return to work.	于是，企业复工后部分雇员就没有动力回去上班了。
The secretary said the Trump administration and Senate Republicans are on the same page with a $1 trillion package, but noted that in the interest of passing a bill quickly, issues that are more difficult to negotiate with Democrats could be held off for another bill.	Mnuchin 表示，Trump 政府和共和党参议员在 1 万亿美元救助计划上的态度是一致的，但他也指出，为了尽快通过这项救助计划，与民主党人谈判比较困难的问题可以先缓一缓，等待另一项政策的出台。
Queen and Adam Lambert: Brian May celebrates Roger Taylor's birthday	皇后乐队和 Adam Lambert：Brian May 为 Roger Taylor 庆祝生日
The Queen legend shares his birthday today with The Rolling Stones frontman Mick Jagger, who is now 77-years-old.	今天，皇后乐队传奇鼓手 Roger Taylor 和滚石乐队灵魂人物、现年 77 岁的 Mick Jagger 一起庆祝生日。
Brian May celebrated his 73rd birthday last weekend on July 19 and thanked fans for the birthday wishes.	7 月 19 日，也就是上周末，Brian May 刚过完 73 岁生日，并感谢粉丝们送上生日祝福。
The rock star wrote next to a snap of him and his wife Anita Dobson: "Birthday dinner for me - created by Anita - we dressed up to stay home !"	身为摇滚巨星的他在与妻子 Anita Dobson 的合影旁边写道：“Anita 为我准备的生日晚餐，即便在家里过生日，我们还是精心打扮了一番！”
Egypt court refers man who murdered three children to psychiatric evaluation	埃及法庭将谋杀三名儿童的男子移送精神医学评估
The South Minya Prosecution's Attorney General Tamer Motea on Sunday sentenced a farmer to four days imprisonment pending investigations into why he murdered his three children while also referring him to a psychiatric committee.	南明亚检署首席检察官 Tamer Motea 周日判处将一名农民收监四天，等待对其谋杀三个孩子的调查得出结论，同时将疑犯移送精神医学评估。
On July 24, 56-year-old Mohamed Ali threw his children Khadiga, four, Mena, eight, and Omar, six, in front of a moving train at the Mallawi Railway Station.	7 月 24 日，56 岁的 Mohamed Ali 在马拉维火车站将他的三个孩子——4 岁的 Khadiga、8 岁的 Mena 和 6 岁的 Omar 扔到了行驶的列车前方。
Ali was found to be babbling incoherently during investigations, leading to suspicion he was suffering a mental breakdown.	在案件调查期间，Ali 有胡言乱语的表现，因此被疑精神崩溃。
His wife denied she had suffered any problems with him and attributed his behavior to psychological issues.	Ali 的妻子否认他此前出现过任何问题，并将他的行为归咎于心理因素。
Villagers from Massart Mallawi refrained from speaking about the incident, offering only their condolences to the children's family.	Massart Mallawi 村的居民不愿就此事件发表言论，仅向孩子们的家人表示慰问。
Roughly 93 percent of Egyptian children aged one to 14 years old suffer from violence, said Khalid Darwish, advisor to the National Council for Childhood and Motherhood back in October.	国家妇女儿童委员会顾问 Khalid Darwish 在十月说过，约有 93% 的 1 到 14 岁埃及儿童遭受过暴力侵害。
Prosecution is one of the most important pillars in eliminating child abuse, he added, stressing the importance of cooperation between the council and Public Prosecution in this regard.	他还补充道，起诉是消除儿童虐待最主要的手段之一，强调了委员会与公诉机关在这方面务必要加强合作。
According to a study prepared by the National Council for Childhood and Motherhood, children are subjected to violence in places that are supposed to be safe, such as home, school or clubs, and exposed to violence from people who are supposed to care for them, such as parents or teachers.	国家妇女儿童委员会的一项研究发现，即便是在家庭、学校或社团这种本应相当安全的地方，儿童也可能遭受暴力侵害，加害者包括本应照顾他们的人——例如父母或老师。
AP blasts White House press secretary Kayleigh McEnany for "political" briefings - but reporters keep asking political questions - RT USA News	美联社批评白宫新闻秘书 Kayleigh McEnany 的“政治性”简报，但记者不断提问政治问题——RT 电视台美国新闻
