ほのかが【田中みな実さん風ヘア】になる！	Honoka's New [Tanaka Minami hairstlye] Look!
大相撲７月場所７日目（２５日・両国国技館）一人横綱の白鵬は平幕霧馬山を寄り切り、新大関朝乃山も宝富士を危なげなく寄り切ってともに７連勝とした。	On the seventh day of the July Sumo tournament (held at Ryogoku Kokugikan on the 25th), lone yokozuna ranked wrestler Hakuho forced hiramaku rank Kiribayama out of the ring, and recently promoted ozeki rank Asanoyama also prevailed over Takarafuji and pushed him out the ring, resulting in seven straight victories for both wrestlers.
かど番の大関貴景勝は輝を突き落として５勝目。	Takakeisho, an ozeki in danger of losing his rank, defeated Kagayaki to secure his fifth victory.
関脇御嶽海は阿炎の休場による不戦勝で全勝を守った。	Thanks to Abi's absence, the sekiwake ranked Mitakeumi maintained his perfect record with a default victory.
関脇正代は碧山を突き落として１敗をキープした。	Sekiwake rank Shodai defeated Aoiyama, keeping his losses to one.
全勝は３人で変わらず、１敗は正代に妙義龍、新入幕の琴勝峰、元大関で再入幕の照ノ富士を加えた４人となった。	Three wrestlers remain with perfect records, and there are now four with one loss, with Shodai joined by Myogiru, newly promoted makuuchi rank Kotoshoho, and former ozeki and re-promoted makuuchi Terunofuji.
十両は若元春が１敗で単独トップに立った。	In the juryo division, Wakamotoharu stands alone at the top with one loss.
吉村知事、対コロナで「ぐるなびと提携する 」 （ サンケイスポーツ ） - Yahoo!ニュース	Governor Yoshimura will "partner with Gurunavi" against COVID-19 (Sankei Sports) - Yahoo!News
大阪府の吉村洋文知事（４５）が２０日、大阪・ＡＢＣテレビ「キャスト 」 （ 月～金曜後３・４８）に府庁からリモート出演し、新型コロナウイルス感染拡大防止対策の一環として、飲食店情報のウェブサイト「ぐるなび」との提携を検討していると明かした。	The governor of Osaka Prefecture, Yoshimura Hirofumi (45) appeared remotely from the prefectural office on the Osaka ABC TV show, Cast (Mon-Fri, from 3:48), to announce that, as part of measures to prevent the spread of COVID-19, his office is considering teaming up with restaurant listings site Gurunavi.
大阪府では今月上旬から、感染拡大防止の取り組み推進と府民への安心提供のため、ガイドラインを順守している事業者に「感染防止宣言ステッカー」を発行。	Starting in the prefecture from the beginning of the month, "Infection Prevention Declaration" stickers are being issued to businesses that comply with guidelines, with the aim of promoting efforts to prevent the spread of infection, and provide peace of mind to citizens.
しかし、飲食店だけで１２万軒以上といわれる府下でのステッカー発行は１万１０００店舗にとどまっている。	However, the number of stickers issued remains at a mere 11,000, whereas there are said to be 120,000 restaurants alone in the prefecture.
そこで吉村知事は「月末になったらやろうと思ってるんですけど 、 『 ぐるなび』なんかと提携をして、予約するときに宣言ステッカーの発行店を出して、予約段階でわかるようにする」と、インターネット予約サイトのとタッグを宣言。	Governor Yoshimura explained, "We're planning on starting it at the end of the month, and we'd like to partner with a site like Gurunavi, so when you go to make a reservation it will show restaurants that have been issued with an Infection Prevention Declaration sticker, so you will know from the time you make the booking," elucidating the plan to work hand in hand with internet reservations sites.
「大事なのは『夜の街』と一括りにすることじゃない。感染症対策をやってくれてる店とやってない店をきちんと明確に分けるべき。やってくれる店を増やす努力も重要」と話した。	"What's important is that we don't lump everything together and put the blame squarely with the 'nightlife district'. We need to clearly distinguish between the establishments that are taking adequate measures to prevent the spread of infection, and those that aren't. And therefore, it's important that we make efforts to increase the number of establishments that are doing their part," he added.
山梨・宮崎・沖縄への往来の際は「慎重に行動を」 東京・大阪などへの往来は「慎重に判断を」 長野県が県民に呼びかけ（NBS長野放送 ） - Yahoo!ニュース	"Act carefully" when traveling to Yamanashi, Miyazaki, Okinawa, "Judge cautiously" when traveling to Tokyo, Osaka, etc. Nagano Prefecture instructs on its citizens (NBS Nagano Broadcasting) --Yahoo! News
長野県は25日、新型コロナウイルスの感染者が増加傾向にあるとして、山梨県・宮崎県・沖縄県への往来について 、 「 基本的な感染防止策の徹底など慎重に行動」するよう県民に呼びかけました。	Nagano Prefecture warned citizens on the 25th to "act carefully, by taking strict measures to prevent the infection," when traveling to Yamanashi, Miyazaki, and Okinawa prefectures since the number of people infected with the new coronavirus is on the rise.
県によりますと、山梨県・宮崎県・沖縄県は直近1週間の新規感染者が「10万人あたり1.0人」を上回ったことから、往来する際には 、 「 基本的な感染防止策の徹底など慎重に行動」するよう呼びかけています。	According to the prefectures, the number of newly infected people in Yamanashi, Miyazaki, and Okinawa prefectures exceeded "1.0 per 100,000 persons" in the past week, and called upon "taking necessary proper preventative measures when traveling to those places".
すでに 、 「 1.0人」を上回った北海道・宮城県・栃木県・岐阜県・広島県・香川県・佐賀県・長崎県についても同様の呼びかけをしています。	They have already givens similar warning for travels to Hokkaido, Miyagi, Tochigi, Gifu, Hiroshima, Kagawa, Saga, and Nagasaki prefectures, which have exceeded "1.0 people".
また、直近1週間の新規感染者が「10万人当たり2.5人」を上回った東京都・埼玉県・千葉県・神奈川県・愛知県・滋賀県・京都府・大阪府・兵庫県・奈良県・和歌山県・福岡県・鹿児島県への往来については 、 「 必要性を改めて慎重に判断し、高齢者など重症リスクの高い人は控えることも検討」するよう呼びかけています。（7月25日現在）	In addition, regarding travels to Tokyo, Saitama, Chiba, Kanagawa, Aichi, Shiga, Kyoto, Osaka, Hyogo, Nara, Wakayama, Fukuoka, and Kagoshima prefectures, where the number of newly infected people in the past week exceeded "2.5 per 100,000 persons", they have called to "reexamine the necessity at this time, and consider refraining travels for the elderly who are at higher risk of serious illnesses."  (As of July 25)
男子初優勝の髙嶺史弥・吉川洋一朗と女子２連覇を飾った吉川小百合・髙嶺心萌（左から）＝24日午後、漫湖公園市民庭球場	First-time boys' champions Takamine Fumiya and Yoshikawa Yoichiro with two-time girls' champions Yoshikawa Sayuri and Takamine Tomoe (from left): Manko Park Civic Tennis Courts on the Morning of the 24th
男女個人戦も独占	Dominating the Boys' and Girls' Singles
２０２０年度県高校総合体育大会（県高校体育連盟、県教育委員会主催）第６日目は24日、各会場で13競技が行われ、漫湖公園市民庭球場でのソフトテニス競技個人戦男子で髙嶺史弥・吉川洋一朗組（八重高）がファイナルにもつれる死闘を制して初優勝、女子で吉川小百合・髙嶺心萌組（同）が圧倒的な強さを見せ大会２連覇を飾った。	On the 24th, the sixth day of the 2020 Prefectural Interscholastic High School Athletics Championships (hosted by the Prefectural High School Athletics Federation and the Prefectural Board of Education) was held, with 13 events taking place at various venues, and in the soft tennis boys' singles competition at the Manko Park Civic Tennis Courts, the duo of Takamine Fumiya and Yoshikawa Yoichiro (Yaeyama High) had their first victory, dominating in a life-or-death struggle that will lead to the finals, and in girls', the duo of Yoshikawa Sayuri and Takamine Tomoe (ibid.) showed overwhelming strength, garnishing two consecutive championship victories.
八重高男女は前日の団体戦に続き個人戦も独占した。	Following on from the previous day's doubles' matches, Yaeyama High boys and girls also dominated in the singles' matches.
（10面に結果）	(Results on page 10)
髙嶺史弥は「プレッシャーもあったが最後の舞台で優勝できて良かった 」 、 吉川洋一朗は 「 （ 高嶺を）勝たせることしか考えていなかった。目標が叶ってうれしい」と語った。	Takamine Fumiya said, "There was some pressure, but I'm glad that we won on the final stage," and Yoshikawa Yoichiro said, "All I was thinking about was helping (Takamine) win. I'm glad that I achieved that goal."
吉川小百合は「ほっとしている。男女４冠も最高にうれしい 」 、 髙嶺心萌は「絶対に負けたくなかった。最後に有終の美を飾れてよかった」と笑顔を見せた。	With smiles, Yoshikawa Sayuri said, "I'm relieved. I'm incredibly happy to have four titles between the boys and girls," and Takamine Tomoe said, "I didn't want to lose no matter what. It's wonderful that we could get our crowning glory at the end."
花巻市の豊沢町振興会（中村健次会長）の企画展「豊沢町の歴史と文化展」は２５日から、同市上町の賢治の広場で開かれる。	Starting from the 25th, the Toyosawacho Promotion Association (chairman: Nakamura Kenji) of Hanamaki city will be holding an exhibition called "The Toyosawacho History and Culture Exhibition" at the Kenji Hiroba, Kamicho.
詩人で童話作家の宮沢賢治（１８９６～１９３３年）が、自身が育った同市豊沢町の住民とともに２３（大正１２）年の関東大震災の被災地に義援金を送ったことが記された手帳を展示。	On exhibition is a notebook showing that Miyazawa Kenji (1896-1933), a poet and writer of children's stories, made a donation to the areas affected by the Great Kanto Earthquake of 1923 (Taisho 12), along with other residents of Toyosawacho district, where he was raised.
賢治と豊沢町のつながりを示す貴重な資料で、町の文化や歴史とともに紹介している。	It serves as an important document showing the connection between Kenji and Toyosawacho, and will be displayed together with other exhibits that introduce the culture and history of the town.
８月２３日まで。	The exhibition will run until August 23rd.
手帳は同振興会の会員で同市豊沢町の団体職員伊藤裕二さん（６０）が昨夏に自宅の倉庫を整理した際に発見。	The notebook was discovered by Ito Yuji (60), a member of the Promotion Association and an employee of the city's Toyosawacho Society, when he was organizing his storehouse last summer.
地元で雑貨店を営んでいた義理の祖父高橋源蔵（１９００～８５年）が使っていた。	It was used by his grandfather-in-law, Takahashi Genzo (1900-1985), who ran a general store locally.
９月１５日に「東京市震災義捐金募集（在郷軍人 ） 」 と書かれており 、 「 ○ 」 「 ×」の記号とともに、賢治や当時の豊沢町の住民らの名前、義援金の金額が記されている。	An entry dated September 15th reads, "Soliciting donations for the Tokyo City Earthquake (reserve troops)," along with X and O marks, and it also lists the names and amounts donated by Kenji and other residents of Toyosawacho at the time.
ロッテの高卒4年目・種市がプロ初完封！	Four years after graduating high school, Lotte's Taneichi achieves his first shutout as a pro!
4番安田V打、鳥谷ダメ押し2点打（ベースボールキング ） - Yahoo!ニュース	Great play from No. 4 Yasuda, and 2 points scored for good measure by Toritani (Baseball King) - Yahoo!News
● 西武 0 － 5 ロッテ ○ ＜10回戦・メットライフドーム＞ ロッテは先発の種市篤暉が、9回136球を一人で投げぬき、4年目で嬉しいプロ初完封。	Seibu 0 - 5 Lotte (10 innings, played at the MetLife Dome): Lotte's starting pitcher, Taneichi Atsuki, delivered 136 pitches during the nine innings, resulting in his delightful first shutout in the 4th year of his professional career.
今季のパ・リーグ完封イチバン乗りで3勝目を挙げ、チームの連敗を2でストップした。	It was the first shutout of the Pacific League this season, resulting in the team's third win and halting their losing streak at just two.
種市は初回、先頭の鈴木将平に三塁線を破る二塁打で出塁を許すも、直後の源田壮亮を三ゴロで打ち取り、この間に進塁を狙った鈴木将も三塁でタッチアウト。	To begin with, Taneichi allowed Suzuki Shohei, who was first up to bat, to hit a double that broke through the third-base line, but following this, Genda Sosuke was immediately grounded out from third base and then Suzuki himself was also touched out when trying to advance to third base.
味方守備の冷静な対応にも助けられ、立ち上がりのピンチをゼロで切り抜けると、2回以降は自慢のストレートを中心にスライダー、フォークのコンビネーションで西武打線を翻弄。	Helped out by the calm response of his fielders, Taneichi got through this initial slip-up with zero, and from the second inning onwards, he made short work of Seibu's batting lineup, using a combination of sliders and forkballs based around his accomplished straight.
尻上がりに調子を上げて、スコアボードにゼロを並べていく。	This progress only served to improve his confidence, and the zeros lined up on the scoreboard.
打線は相手先発・本田圭佑を打ちあぐねていたが、7回先頭の3番・菅野剛士が四球で出塁し、代走・岡大海が二盗成功。	Lotte's batting line had been unable to hit anything thrown by Seibu's starting pitcher, Honda Keisuke, until finally, at the top of the seventh inning, No. 3 Sugano Tsuyoshi walked on base with a four ball, and pinch runner Oka Hiromi succeeded in stealing second base.
このチャンスに4番・安田尚憲が値千金の右前打を放ち、ついに均衡を破る。	Taking this chance, No. 4 Yasuda Hisanori sent a ball sailing perfectly over to the right of the field, and finally broke the deadlock.
すると、続く8回に相手3番手・宮川哲を攻め立て、途中出場していた鳥谷敬の移籍後初タイムリーとなる左中間2点打など一挙4得点。	Continuing on into the eighth inning, Toritani Takashi, who had been substituted in, was on the offensive against Seibu's No. 3 Miyagawa Tetsu, hitting a run-scoring hit between the left and centre fielders for two points, racking up four points for Lotte in no time.
マリーンズの若きエース候補の背中を押すように畳み掛けて、一気に勝負を決めた。	This left everything resting on the shoulders of the Marines' young ace candidate, and the match was quickly decided.
種市は8回も三者凡退で片付けると、100球を超えた9回も続投。	Taneichi ended the eighth inning by getting all three batters out, and continued pitching in the ninth inning, by which point he had thrown over 100 balls.
「力みまくった」と連続四球で二死満塁のピンチを招いたが、最後はスパンジェンバーグから高めのストレートでこの日10個目の三振を奪いゲームセット。	Exerting himself, Taneichi allowed a succession of walks and found himself with two out and bases loaded, but in the end, a fast ball to Cory Spangenberg produced the 10th strikeout of the day, and the game was set.
笑顔で喜びを噛み締めた。	Taneichi rejoiced with a smile on his face.
新作戦で事故にバイバイ 鶴岡署、関係団体と連携し安全啓発｜山形新聞	Waving bye-bye to accidents with a new initiative: Tsuruoka Police Station working with related organisations to promote safety awareness | Yamagata Newspaper
作戦のスタート行事として開かれた自転車教室では、車と自転車の衝突実験が行われた＝鶴岡市・庄交学園自動車教習所	At the bicycle class held to kickstart the initiative, a collision between a bike and a car was simulated - Shoko Gakuen Driving School, Tsuruoka
鶴岡警察署（佐藤景三署長）は、近年、管内で発生する割合が高い自転車やバイクの絡む事故をなくそうと 、 「 バイ・バイ事故ゼロ作戦」をスタートさせた。	Tsuruoka Police Station (chief of police: Sato Keizo) has begun a new "Bye-bye Accident Zero Initiative" in an effort to curb the relatively high number of accidents involving bicycles and motorbikes that occur in its jurisdiction.
管内の交通安全団体とともに事故防止の啓発を進めるほか、自転車の交通ルール違反の取り締まり強化に乗り出す。	The station will not only be promoting awareness of accident prevention together with local road safety organisations, but also aims to clampdown on bicycle traffic rule violations.
同署管内では今年、3件の交通死亡事故が発生しており、バイクや自転車を運転していた人が亡くなった。	Three fatal traffic accidents happened this year within the jurisdiction, where the rider of a bicycle or motorbike was killed.
事故の発生件数は減少傾向にあるものの、自転車の絡む事故の発生割合は、6月30日現在で約11.7 ％ 、 バイク絡みは同約5.8％で、いずれも県平均より高くなっている。	Although the overall number of accidents is on the decline, as of June 30th, the percentage of accidents involving bicycles is 11.7%, and 5.8% for motorbikes, both of which are higher than the average for the prefecture.
特に自転車の事故は、過去5年の発生割合も県平均を上回る年が多く、こうした状況を打開しようと作戦を企画した。	For bicycle accidents in particular, the rate has exceeded the prefectural average for the majority of the past five years, and so they planned the new initiative to try to overcome the situation.
作戦名には「ｂｉｋｅ 」 「 ｂｉｃｙｃｌｅ」に事故撲滅の意味を掛け合わせた。	The naming of the initiative is a play on the words "bike" and "bicycle" to eradicate accidents.
関係団体には、高齢者への運転指導や夜光反射材の活用を交通安全教室などで、これまで以上に呼び掛けてもらう。	Related organisations will be asked to appeal to people more than ever in endeavours such as road safety classes, encouraging driving instruction for elderly people and the use of reflective clothing at night.
同署では取り締まりなどの際にイエローカード（指導警告票）を交付し、注意を促す。	Police officers will issue people with a yellow card (disciplinary warning slip) as a caution when they violate a traffic rule.
作戦の開始式が21日、鶴岡市の庄交学園自動車教習所で行われた。	A ceremony to signal the start of the initiative was held on the 21st at Shoku Gakuen Driving School in Tsuruoka.
関係者約30人が出席し、佐藤署長は「悲惨な事故を一件でも減らすためにも、協力をお願いしたい」とあいさつ。	Around 30 related officials were in attendance, to whom Chief Sato asked for their cooperation in "reducing even just one tragic accident" in his opening remarks.
同署の担当者が方針と各団体の活動内容を示した。	Officials from the police department explained the details of the initiative and the activities of the various organisations.
引き続き作戦のスタート行事として、自転車教室を開催。	And then a bicycle class was also held as one of the starting events.
車に乗った署員が、ブレーキを掛けて自転車に衝突した場合と、ブレーキを踏まずに時速約55キロで衝突した場合とで、自転車に加わる衝撃がどのように異なるのかを実演した。	A station official driving a car demonstrated how the impact exerted on a bicycle changes depending on whether the driver was applying the brakes at the time of the crash, or if they were travelling at 55km/h and not applying the brakes.
鶴岡地区地域交通安全活動推進委員協議会の金内弘一会長は「改めて交通事故の恐ろしさを実感した。高齢者はもちろん、若者にも注意を呼び掛けたい」と話していた。	Kanauchi Koichi, chairman of the Tsuruoka Regional Road Safety Action Promotion Committee, said, "Today's demonstration served as a stark reminder of the horror of traffic accidents. I urge not only the elderly, but also young people, to take due care."
お笑い赤坂亭 ５カ月ぶり定例寄席 プロの話芸、来場者引き込む：山陽新聞デジタル｜さんデジ	Akasakatei Comedy Club reopens after 5-month Hiatus, Pro Storyteller Draw Customers for Regular Entertainment Event: Sanyo Shimbun Digital | San-Digi
歯切れの良い語り口で落語を披露する雷門喜助さん（右）	Kaminarimon Kisuke (left), with his clear speaking style, performing Rakugo
新型コロナウイルスの影響で休業していた公営寄席「お笑い赤坂亭 」 （ 赤磐市惣分）で２５日、５カ月ぶりの定例寄席が開かれた。	Akasakatei Comedy Club (Sobun, Akaiwa city), a publicly managed entertainment venue that had been closed due to the impact of COVID-19, held a regular entertainment event on the 25th after a 5-month hiatus.
赤坂亭を拠点に活動する落語家・雷門喜助さん（７５）＝同所＝らが、プロの話芸で来場者の笑いを誘った。	Rakugo performer Kaminarimon Kisuke (75), who calls Akasakatei his home, and other performers based there drew laughs from the audience with their professional storytelling.
喜助さんは、殿様から禁酒を言い渡された家臣の依頼で、酒を持ち込もうとする酒屋が門番と滑稽なやりとりを繰り広げる「禁酒番屋」を披露。	Kisuke performed Kinshu Banya, in which a sake seller tries to sneak in alcohol at the request of a vassal whose lord has prohibited alcohol, and a humorous exchange with the gatekeeper ensues.
歯切れのいい語り口や、おいしそうに酒を飲むしぐさに何度も笑いが起こった。	There were a lot of laughs at his clear storytelling and how deliciously he mimed drinking alcohol.
夫婦で訪れた会社員男性（５８）＝岡山市中区＝は「話し方や間の取り方が絶妙で、すぐに引き込まれた」と笑顔。	A male company employee (58) from Naka ward, Okayama city, who attended with his wife, said with a smile, "His speaking style and timing were superb, and it pulled me in right away."
喜助さんは「久々の公演で声の調子はいまひとつだったが、充実した時間だった」と話していた。	Kisuke said, "My voice wasn't the best because it was my first performance in so long, but it was a rewarding time."
ゲストの落語家・桂小留さん（３１）＝大阪市、手品グループ・津山マジック同好会も出演した。	There were also performances by a guest Rakugo performer, Katsura Chiroru (31) of Osaka city, and by the sleight of hand group, Tsuyama Magic Club.
お笑い赤坂亭は１９９６年、全国初の公営寄席として旧赤坂町が開業。	Akasakatei Comedy Club began in 1996 in the former Akasaka-cho area as the first publicly managed entertainment venue in the country.
月１回の定例寄席や出前寄席を続けていたが、新型コロナの影響で今年２月の公演を最後に寄席を取りやめていた。	The venue has held monthly events and one-off shows since then, but had not held any events since February due to the impact of the COVID-19 pandemic.
ロシア極東で異例１５日連続デモ 知事拘束に抗議、矛先政権にも｜静岡新聞アットエス	Unprecedented 15 Days of Continued Demonstrations in Russia's Far East, Protesting Governor's Arrest, Also Targeting Administration | Shizuoka Shimbun At-S
ロシア極東ハバロフスク地方で２５日、フルガル知事が拘束・解任されたことに抗議するデモ隊（ＡＰ＝共同）	Demonstrators protesting against the arrest and dismissal of Governor Furgal in the Khabarovsk region of Russia's far east on the 25th (AP/Kyodo News).
【モスクワ共同】ロシア極東ハバロフスク地方でフルガル知事が拘束・解任されたことに抗議するデモが２５日も現地で行われた。	MOSCOW (Kyodo News) - Demonstrations in the Khabarovsk region of Russia's far east protesting the arrest and dismissal of Governor Furgal continued locally on the 25th.
デモは１５日連続となり異例の事態。	The demonstrations have been going on for an unprecedented 15 days.
批判の矛先はプーチン大統領にも向けられている。	President Putin has also been a target of criticism.
治安当局は、首都モスクワでは常とう手段の一斉拘束に踏み切らず、住民感情に配慮する政権の慎重姿勢がにじんでいる。	The authorities have not made mass arrests, which is a habitual practice in the capital Moscow, showing the administration's cautious attitude in consideration of public sentiment.
極右の自由民主党所属のフルガル前知事は１８年の知事選決選投票でプーチン政権与党「統一ロシア」の現職候補に得票率約７割で圧勝。	In the 2018 final gubernatorial election, ex-governor Furgal, a member of the far-right Liberal Democratic Party, won an overwhelming victory over the incumbent candidate from the Putin administration's party, United Russia, with about 70% of votes cast.
ロシアで数少ない非与党知事だったが、今月９日に治安当局に拘束された。	He was one of Russia's few opposition party governors, but he was arrested by the authorities on the 9th of this month.
容疑は０４～０５年の実業家殺害２件への関与と発表された。	It was announced that the suspect had been involved in the murders of two different businessmen in 2004 and 2005.
コロナで規模縮小も 福島・相馬野馬追初日（福島県 ） （ 福島中央テレビ ） - Yahoo!ニュース	Due to Covid-19, scaling down in Fukushima • The Opening of Soma Nomaoi (Fukushima Prefecture) (Fukushima Central Television) --Yahoo! News
コロナで規模縮小も 福島・相馬野馬追初日	Due to Covid-19 Scaling down in Fukushima • Soma Nomaoi - the opening day
相馬地方伝統の夏祭り「相馬野馬追」が、２５日から始まった。	The traditional summer festival "Soma Nomaoi" in Soma region began on the 25th.
一千年以上の歴史をもつ「相馬野馬追」は、２５日から３日間の日程で開催される。	"Soma Nomaoi", which has a history of more than 1,000 years, will be held for three days from the 25th.
朝には相馬中村神社で新型コロナウイルス収束の祈りを捧げたあと、出陣式が行われた。	After a prayer given for the elimination of the new coronavirus at Soma Nakamura Shrine in the morning, the launch ceremony was held.
２０２０年は感染拡大を防ぐため、出場人数を制限し無観客で実施するほか、騎馬武者たちが町を練り歩く「宵乗り行列」も中止となり、総大将が乗馬するだけに留まった。	In 2020, in order to prevent the spread of Covid-19, the number of participants are limited and the events are held without spectators, in addition to cancelling the "evening ride procession" where cavalry warriors parade through the town, and only the general commander was on a horse.
呼び物の「甲冑競馬」や「神旗争奪戦」などもとりやめ、２６日・２７日も神社敷地内での神事のみ執り行われる予定だ。	The special events; "Kacchu-keiba" and "Shiki sodatsu-sen" are also canceled, and only the Shinto ritual inside the grounds will be held on the 26th and 27th.
県産食材の4商品きょうから順次発売 三重のセブンイレブン（伊勢新聞 ） - Yahoo!ニュース	Mie Seven-Eleven  Start sales of four products with locally sourced ingredients from today (Ise Shimbun) --Yahoo! News
新型コロナウイルスの感染拡大で影響を受ける事業者を支援するため、コンビニ大手セブン―イレブン・ジャパン（東京）は23日から、三重県内出店15周年を記念して県産食材を使ったラーメンやおにぎりなど新商品四品を県内168店舗で順次発売する。	Starting from the 23rd and spreading over 168 stores, Seven-Eleven Japan (Tokyo), a major convenience store, will launch sales of four new products such as ramen or rice balls that use locally sourced ingredients to commemorate the 15th anniversary of the opening of the first store in Mie Prefecture and in order to support businesses affected by the spread of the new coronavirus.
同社は平成18年2月に桑名市で桑名江場店を県内1号店としてオープン。	The company opened its first store in the prefecture, Kuwana Eba store in Kuwana City in February 2006.
現在は168店舗まで広がり、今年で15周年を迎える。	Currently, they have expanded to 168 stores, and this year marks the 15th anniversary.
外出控えなどで需要が落ち込んだ県産食材を使って記念商品を販売する。	Commemorative products will be sold using local ingredients, where demand has fallen due to people refraining from going out.
県内のほか、愛知、岐阜両県の店舗でも扱う。	In addition to the prefecture, they will also be available at stores in both Aichi and Gifu prefectures.
23日に発売するのはマダイのだしを使った冷やし塩ラーメン（440円）とたいめしのおむすび（140円 ） 。	On the 23rd, chilled salt ramen (440 yen) using broth from local red sea bream and tai-mesh rice ball (140 yen) will go on sale.
28日には、赤シソや生ノリのつくだ煮を使った2個入りのおにぎり（175円）と伊勢茶のシュークリーム（140円）を発売する。	On the 28th, two rice ball set (175 yen) using red perilla and braised raw seaweed, as well as Ise green tea cream puff (140 yen) will go on sale.
同社オペレーション本部の飯沼一丈副本部長らが22日、県庁で鈴木英敬知事と面談し「生産者に大変素晴らしい食材を提供いただき、真心を込めて商品を作り上げた。	Deputy General Manager Iinuma Kazutake of the company's operation headquarters met with Governor Suzuki Eikei at the prefectural office on the 22nd saying, "We were provided by local producers with such wonderful ingredients and we have tried to create the products with sincerity.
世の中が厳しい状況だが、商品を通して三重県を盛り上げたい」と述べた。	"The world is in a very tough situation, but we want to stimulate Mie Prefecture through these products."
鈴木知事は「魅力のある商品の一方で、今回のコロナで影響を受けている品目ばかり。生産者にとって勇気の出る取り組みだと思う」と感謝。	Governor Suzuki appreciated that, "They are all attractive products, using ingredients sourced by local producers affected by this coronavirus. I think this project will encourage the producers."
ラーメンとたいめしのおむすびを試食し「タイのだしがよく効いている。おいしい」と太鼓判を押した。	He sampled the ramen and rice balls and said, "You can taste the sea bream soup stock and it's delicious." giving it a thumbs up.
「アマビエ」備前焼置物で元気に 岡山大付属特別支援学校生が制作：山陽新聞デジタル｜さんデジ	Bringing Joy with Bizen Ware Amabie Ornaments, Made by Students of the School of Special Needs Attached to Okayama University: Sanyo Shimbun Digital | San-Digi
